age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target,cluster
29,4,2,2,0,3010,0,0,1,9,2,765,0,151,1,1,1,102
38,1,1,1,0,551,1,0,0,7,8,66,4,0,0,3,0,3
37,1,1,1,0,810,0,1,0,26,1,333,3,0,0,3,0,100
1,8,2,1,0,811,0,0,0,29,0,167,0,151,2,2,1,102
13,4,2,2,0,3225,1,0,0,20,9,35,1,88,1,0,0,101
15,0,1,1,0,1548,1,0,0,13,5,248,2,0,0,3,0,0
27,0,1,1,0,3173,1,0,2,28,8,16,15,0,0,3,0,100
32,9,1,2,0,2727,1,1,1,30,5,22,13,0,0,3,0,100
23,9,1,2,0,1013,1,0,0,8,5,72,0,0,0,3,0,0
19,7,1,1,0,1255,1,0,2,3,6,123,4,0,0,3,0,3
27,1,0,0,0,489,1,0,2,1,6,157,5,0,0,3,0,3
7,9,2,2,1,642,0,1,2,12,5,149,0,0,0,3,0,103
10,9,1,1,0,1524,1,0,0,19,0,935,2,0,0,3,1,102
16,9,2,2,0,783,1,0,2,7,8,203,0,0,0,3,0,3
33,4,2,3,0,1675,0,0,0,21,3,141,4,247,1,0,0,101
16,1,1,1,0,595,1,0,0,12,8,14,1,0,0,3,0,3
29,4,1,2,0,1500,0,0,0,3,1,485,1,0,0,3,0,0
41,4,0,0,0,3594,1,0,2,12,8,129,0,0,0,3,0,3
28,1,1,1,0,3072,1,0,2,22,8,91,7,0,0,3,0,100
15,9,1,2,0,3616,1,0,0,19,9,101,0,0,0,3,0,3
17,5,2,1,0,1008,0,1,2,1,5,346,2,0,0,3,0,100
6,7,2,1,0,536,1,1,2,27,8,224,0,0,0,3,0,100
14,9,2,1,0,765,1,0,0,28,4,69,0,0,0,3,0,0
41,4,1,2,0,2031,0,1,0,16,9,537,1,0,0,3,1,102
17,4,0,2,0,512,0,0,0,24,1,155,3,0,0,3,0,0
8,1,2,1,0,478,0,0,2,18,8,258,0,0,0,3,0,3
13,9,1,1,0,623,1,0,2,20,8,138,1,0,0,3,0,3
22,9,2,3,0,478,1,0,2,5,8,76,1,0,0,3,0,3
21,1,1,1,0,758,0,1,0,24,5,439,11,0,0,3,0,100
27,0,1,1,0,653,1,0,2,11,8,536,0,0,0,3,0,3
19,4,0,2,0,483,1,0,0,5,1,97,4,0,0,3,0,0
14,7,0,1,0,1583,1,0,0,18,9,79,0,143,1,0,0,101
13,4,1,2,0,128,0,1,0,6,5,122,0,0,0,3,0,100
12,1,1,0,0,1075,1,0,2,22,8,229,0,0,0,3,0,3
16,1,1,1,0,842,1,0,1,18,9,44,0,143,2,0,0,101
28,9,0,1,0,1876,1,0,0,2,3,399,3,0,0,3,0,0
24,0,1,1,0,1405,0,0,0,29,5,156,1,0,0,3,0,0
24,4,1,2,0,854,1,0,0,2,1,643,1,0,0,3,1,102
11,9,2,2,0,1631,1,0,0,20,5,70,1,0,0,3,0,0
20,4,0,2,0,3539,0,0,2,11,6,157,1,0,0,3,0,3
9,9,2,2,0,3615,0,0,0,1,6,72,0,85,1,2,1,102
10,4,2,2,0,483,1,0,2,26,8,288,0,0,0,3,0,3
19,4,1,2,0,3193,0,0,1,16,3,463,3,0,0,3,1,102
8,9,2,1,0,311,1,0,2,22,8,162,2,0,0,3,0,3
19,9,1,2,0,609,1,0,0,12,3,69,0,0,0,3,1,102
39,10,1,1,0,2858,0,0,0,4,3,916,1,0,0,3,1,102
26,1,1,1,0,1181,0,1,0,20,9,101,0,104,2,0,0,101
16,4,0,2,0,2282,0,0,0,7,11,218,1,145,3,2,1,102
17,1,2,1,0,3578,1,1,2,4,8,175,0,0,0,3,0,100
19,4,1,0,0,3076,0,0,1,27,4,44,0,0,0,3,0,0
13,7,2,1,0,962,1,0,2,20,8,112,1,0,0,3,0,3
42,5,1,1,0,3449,0,0,0,15,7,277,0,155,7,1,1,101
28,1,1,1,0,725,1,1,2,13,8,343,1,0,0,3,0,100
13,1,2,1,0,626,1,0,0,16,0,368,2,0,0,3,0,0
16,1,0,1,0,367,1,0,0,6,8,130,0,307,1,0,0,101
20,7,1,1,0,793,0,1,0,24,5,112,11,0,0,3,0,100
18,9,1,1,0,1682,1,1,2,28,8,150,0,0,0,3,0,100
23,1,1,1,0,1060,1,0,0,13,8,814,0,314,1,0,1,101
9,8,2,1,0,3271,0,0,0,30,7,173,0,142,1,0,1,101
12,0,2,1,0,1466,1,0,0,28,4,56,0,0,0,3,0,0
32,4,1,2,0,1199,0,1,0,19,9,115,5,0,0,3,0,100
33,4,1,0,1,540,1,1,2,7,8,59,0,0,0,3,0,103
14,4,2,2,0,1726,0,1,0,20,9,61,0,0,0,3,0,100
14,1,0,1,0,683,1,0,0,14,8,61,7,316,23,1,0,101
13,1,2,1,0,479,1,0,0,14,8,108,0,0,0,3,0,3
16,1,1,1,0,218,1,0,0,5,8,206,0,316,1,0,0,101
18,0,0,1,0,494,0,0,0,18,1,95,1,0,0,3,0,0
11,1,1,0,0,3509,1,0,0,15,0,612,0,275,4,0,0,101
36,1,0,0,0,2273,1,0,2,1,6,43,2,0,0,3,0,3
28,6,1,1,0,454,1,1,0,1,0,162,0,253,2,0,0,101
15,8,1,1,0,1868,0,0,0,8,9,260,0,59,2,2,1,102
17,1,1,1,0,1089,1,0,1,9,5,134,0,0,0,3,0,3
37,0,1,1,0,1022,1,1,0,13,5,509,2,0,0,3,0,100
37,1,1,1,0,3583,0,0,1,4,9,109,8,362,4,1,0,101
19,9,1,1,0,1200,1,0,0,7,0,56,2,0,0,3,0,0
26,4,2,2,1,495,1,0,0,18,9,124,1,0,0,3,0,103
26,9,1,1,0,2524,1,0,0,26,4,685,0,0,0,3,1,102
28,2,1,1,0,604,0,0,0,5,3,908,1,1,7,0,0,101
16,2,1,1,0,1743,1,0,0,17,9,250,1,0,0,3,0,3
39,0,1,1,0,885,1,0,0,17,8,599,0,291,2,1,1,101
17,9,2,2,0,2379,1,0,0,12,1,117,1,0,0,3,0,0
6,7,2,1,0,763,1,0,0,7,8,209,1,289,3,1,0,101
42,4,1,2,0,562,0,0,2,10,6,46,2,0,0,3,0,3
53,5,1,3,0,844,0,0,1,11,3,137,1,0,0,3,0,100
14,7,1,1,0,483,1,0,1,9,5,73,0,0,0,3,0,3
14,0,1,1,0,486,1,1,0,14,5,608,3,0,0,3,0,100
10,1,1,1,0,2980,0,0,0,29,0,169,0,0,0,3,0,0
21,6,2,2,0,483,0,0,2,15,6,11,0,0,0,3,0,3
30,4,0,2,0,567,1,0,0,7,8,12,4,315,5,0,0,101
18,4,1,2,0,1239,0,0,0,1,3,48,0,0,0,3,0,0
15,7,1,1,0,483,1,0,2,25,8,190,5,0,0,3,0,3
25,9,1,1,0,779,1,0,0,13,10,117,2,0,0,3,0,3
26,4,0,2,0,483,1,1,0,18,9,126,0,0,0,3,0,100
8,8,2,1,0,685,0,0,0,15,9,102,0,157,1,0,0,101
16,8,1,2,0,2621,1,0,1,20,9,63,0,0,0,3,0,3
25,4,1,1,0,2711,1,1,0,25,7,276,1,0,0,3,0,100
21,1,0,0,0,486,0,1,2,0,5,618,0,0,0,3,0,100
25,6,1,2,0,2611,0,0,0,7,1,356,2,0,0,3,0,0
12,4,2,2,0,891,1,0,0,13,1,118,3,0,0,3,0,0
32,4,0,2,0,1281,0,0,0,3,6,507,2,0,0,3,1,102
13,9,2,1,0,1059,1,1,0,16,0,466,2,275,15,1,0,101
31,1,1,1,0,670,1,0,2,22,8,179,15,0,0,3,0,100
32,7,1,0,0,468,0,1,2,1,5,69,0,0,0,3,0,100
37,1,1,0,0,1208,1,0,0,6,8,245,0,0,0,3,0,3
16,9,0,1,0,1038,1,0,0,6,8,128,1,128,5,0,0,101
18,3,1,0,0,1102,0,0,2,19,6,53,4,0,0,3,0,3
24,4,1,2,0,639,1,1,0,27,4,134,0,0,0,3,0,100
14,1,1,1,0,1612,1,1,2,15,8,239,0,0,0,3,0,100
20,9,1,1,0,483,1,0,0,3,1,69,0,0,0,3,0,0
20,1,2,0,0,1900,1,0,0,14,8,384,0,0,0,3,0,3
23,4,1,2,0,483,0,0,0,10,1,983,4,0,0,3,1,102
20,0,2,1,0,2328,1,0,2,28,8,172,1,0,0,3,0,3
12,0,2,1,0,448,0,0,0,15,5,558,8,0,0,3,1,102
7,8,2,3,0,1202,0,0,1,20,0,617,1,0,0,3,1,102
23,1,1,0,0,1054,1,0,2,13,8,447,1,0,0,3,0,3
19,7,1,1,0,2755,1,1,2,25,8,79,7,0,0,3,0,100
31,1,1,1,0,2128,0,0,0,18,10,190,0,60,1,2,1,102
14,9,0,2,0,749,0,0,0,25,8,126,0,0,0,3,0,0
14,9,1,2,0,1367,1,0,0,22,6,179,0,273,1,1,0,101
21,1,1,1,0,506,1,0,2,11,8,20,4,0,0,3,0,3
12,1,1,1,0,1990,1,0,0,13,8,195,2,0,0,3,0,3
23,0,2,1,0,2889,1,0,0,13,8,303,2,249,11,1,0,101
17,4,1,2,0,507,1,0,0,7,0,167,0,190,2,0,0,101
13,4,2,2,0,546,0,0,0,17,1,159,6,0,0,3,0,100
11,7,2,1,0,492,0,1,0,7,5,200,1,0,0,3,0,100
17,0,2,1,0,664,1,0,2,2,6,115,0,0,0,3,0,3
21,1,1,1,0,392,0,0,0,16,5,258,0,0,0,3,0,0
19,1,1,0,0,324,1,0,2,25,8,164,1,0,0,3,0,3
30,9,1,3,0,550,1,0,2,13,8,326,3,0,0,3,0,3
42,5,1,1,0,2410,1,1,0,3,3,277,2,221,1,0,0,101
17,1,1,1,0,483,1,0,0,16,0,201,0,0,0,3,0,0
35,1,1,0,0,1360,1,0,2,13,8,104,0,0,0,3,0,3
25,4,1,2,0,2206,0,0,0,20,9,118,1,0,0,3,0,0
8,10,2,1,0,1112,0,0,0,11,1,310,2,142,1,2,1,102
17,9,2,2,0,1539,1,1,2,1,6,93,0,0,0,3,0,100
11,1,2,1,0,835,1,0,2,3,6,182,0,0,0,3,0,3
17,4,0,2,0,2299,0,0,0,17,9,128,2,0,0,3,0,0
61,5,0,0,0,503,0,0,0,28,0,163,1,143,1,1,0,101
12,4,2,2,0,716,1,0,2,2,6,240,1,0,0,3,0,3
33,9,1,1,0,1803,1,0,2,3,6,82,6,0,0,3,0,100
23,3,1,0,0,657,0,0,0,6,5,250,0,0,0,3,0,0
25,4,1,2,0,2604,0,0,0,3,6,154,0,50,3,0,1,101
28,6,1,1,0,57,1,1,0,14,8,66,0,0,0,3,0,100
22,4,1,1,0,3479,1,0,0,20,9,524,0,60,2,1,0,101
13,7,1,0,0,1450,1,0,0,2,3,254,0,151,3,0,0,101
15,1,1,0,0,366,1,1,0,17,8,168,5,0,0,3,0,100
40,3,0,0,0,2808,0,0,0,10,1,224,1,0,0,3,0,0
36,5,0,1,0,933,0,1,0,17,8,40,3,235,5,0,0,101
24,2,0,1,0,514,0,0,2,17,6,118,0,0,0,3,0,3
23,1,0,3,0,502,0,1,0,7,5,511,4,0,0,3,0,100
35,11,1,1,0,499,0,0,2,8,6,98,0,0,0,3,0,3
4,8,2,3,0,484,0,0,1,14,6,261,3,0,0,3,0,0
13,9,2,1,0,536,1,1,0,5,8,527,0,0,0,3,1,102
22,1,1,0,0,483,0,0,2,19,6,613,3,0,0,3,0,3
21,10,2,2,0,580,1,1,2,25,8,377,0,0,0,3,0,100
17,9,2,1,0,844,1,0,0,16,0,52,1,0,0,3,0,0
8,0,2,1,0,1296,1,0,0,16,3,95,0,0,0,3,0,0
13,4,1,2,1,25,1,0,0,15,5,253,1,0,0,3,0,103
38,9,0,1,0,560,1,1,2,27,8,23,1,0,0,3,0,100
30,4,0,2,0,1955,1,0,2,2,6,141,0,0,0,3,0,3
13,9,2,2,0,2099,0,1,0,19,9,223,1,144,1,0,0,101
24,3,2,0,0,1598,1,0,0,13,8,134,0,289,4,0,0,101
24,6,1,1,0,881,0,0,0,27,4,294,1,0,0,3,0,0
29,0,1,1,0,739,1,0,2,14,8,481,10,0,0,3,0,100
28,1,1,0,0,2400,1,0,2,15,8,40,2,0,0,3,0,3
33,9,1,2,0,2404,0,0,0,29,9,208,2,0,0,3,0,0
41,4,1,2,0,620,1,1,0,15,9,160,1,148,5,0,0,101
12,0,1,1,0,341,1,1,2,25,8,128,0,0,0,3,0,100
15,2,1,2,0,1419,1,0,0,17,8,95,0,141,3,0,0,101
6,0,2,1,0,1268,1,0,2,26,8,207,1,0,0,3,0,3
21,1,0,3,0,1009,1,0,2,20,8,109,4,0,0,3,0,3
27,4,0,2,0,702,1,0,2,17,6,87,3,0,0,3,0,3
65,5,0,0,0,3038,0,0,0,12,11,173,1,0,0,3,0,100
14,4,2,2,0,1376,1,0,0,19,0,222,0,0,0,3,0,0
39,4,0,2,0,943,1,0,2,20,8,140,9,0,0,3,0,100
18,4,1,2,0,1071,1,0,0,24,1,107,4,0,0,3,0,0
26,6,1,0,0,896,1,0,0,3,3,136,0,227,2,1,0,101
23,7,0,0,0,790,0,0,0,30,5,71,0,0,0,3,0,0
17,9,1,1,0,809,1,0,0,12,0,534,2,0,0,3,0,0
10,9,2,1,0,1056,1,1,2,25,8,156,3,0,0,3,0,100
38,10,1,1,0,495,0,0,0,11,10,508,2,148,1,0,1,102
24,7,1,1,0,272,0,0,2,27,8,112,2,0,0,3,0,3
30,1,1,1,0,486,0,1,0,18,1,287,1,0,0,3,0,100
14,4,2,2,0,3520,0,0,0,21,0,398,0,0,0,3,1,102
14,9,2,2,0,382,1,1,0,16,0,417,0,0,0,3,0,100
31,9,0,1,0,1427,0,0,0,24,8,609,1,0,0,3,0,0
26,4,1,2,1,536,1,0,0,19,9,231,3,0,0,3,0,103
40,5,1,3,0,483,0,0,0,19,1,44,4,0,0,3,0,0
38,5,1,3,0,3006,1,0,2,15,8,289,0,0,0,3,0,3
19,4,1,2,0,685,0,0,0,20,10,727,0,55,5,2,1,102
14,1,1,0,0,386,1,1,1,30,5,452,18,0,0,3,0,100
15,7,1,1,0,794,1,1,0,2,3,5,7,0,0,3,0,100
17,1,1,0,0,2508,1,0,2,20,8,63,0,0,0,3,0,3
27,0,0,3,0,1325,0,0,1,7,5,47,6,0,0,3,0,100
34,9,2,1,0,519,1,0,2,15,8,333,0,0,0,3,0,3
13,1,1,1,0,261,1,1,2,1,6,106,0,0,0,3,0,100
30,1,1,0,0,701,1,0,2,28,8,107,3,0,0,3,0,3
12,9,2,2,0,493,0,0,0,25,1,274,7,0,0,3,0,100
15,2,1,2,0,1086,1,0,0,1,3,192,0,0,0,3,0,0
14,7,2,1,0,563,1,0,1,18,9,472,1,0,0,3,0,3
30,1,1,0,0,973,0,1,0,20,1,137,1,0,0,3,0,100
12,9,1,2,0,1022,1,0,2,25,8,412,1,0,0,3,1,102
17,6,2,1,0,732,0,0,2,19,6,168,0,0,0,3,0,3
14,7,2,1,0,532,1,0,0,16,0,182,3,0,0,3,0,0
14,3,0,1,0,93,1,0,0,14,0,264,1,0,0,3,0,0
14,9,2,2,0,1185,1,0,0,19,0,18,3,0,0,3,0,0
26,9,1,0,0,1231,0,1,0,30,5,780,3,0,0,3,1,102
19,1,1,0,0,503,0,1,1,14,5,466,3,0,0,3,0,100
31,1,1,1,0,513,1,0,2,4,8,133,3,0,0,3,0,3
13,1,1,0,0,483,1,0,1,14,5,235,6,0,0,3,0,100
16,0,2,1,0,721,0,0,2,4,10,4,0,0,0,3,0,3
16,1,1,1,0,802,1,0,0,11,1,350,0,386,2,0,1,101
18,0,2,1,0,617,0,0,2,4,6,306,0,0,0,3,0,3
23,1,1,0,0,3413,1,0,0,19,9,218,0,151,1,0,0,101
32,6,1,1,0,152,1,0,2,29,8,40,10,0,0,3,0,100
12,4,0,2,0,897,1,1,0,5,8,876,0,294,4,0,1,101
37,1,1,0,0,765,0,1,0,8,5,113,0,0,0,3,0,100
38,9,0,2,0,883,1,0,1,19,9,24,0,0,0,3,0,3
11,4,1,2,0,1469,1,0,0,23,5,406,0,0,0,3,0,0
37,10,0,1,0,765,1,1,2,13,8,218,1,0,0,3,0,100
13,7,1,1,0,853,1,1,0,16,0,643,0,0,0,3,0,100
12,1,1,0,0,725,0,1,0,8,3,131,1,174,2,0,0,101
27,0,1,1,0,338,1,0,2,26,8,313,1,0,0,3,0,3
13,7,1,1,0,910,1,0,2,20,8,270,0,0,0,3,0,3
10,8,2,2,0,593,0,0,0,9,7,68,1,0,0,3,0,0
14,0,2,1,0,3463,0,0,0,6,2,198,0,157,2,0,0,101
21,1,1,0,0,483,0,0,2,8,6,171,0,0,0,3,0,3
20,6,1,1,0,697,1,0,0,13,8,113,1,136,2,0,0,101
40,4,1,2,0,527,1,0,2,14,8,286,1,0,0,3,0,3
17,7,1,1,0,483,0,1,1,8,5,40,0,0,0,3,0,100
12,6,2,2,0,648,0,0,0,29,5,149,3,0,0,3,0,0
37,1,1,1,0,1437,0,0,1,10,5,39,1,0,0,3,0,0
33,7,1,1,0,1915,1,0,0,15,5,92,2,0,0,3,0,0
20,0,1,1,0,697,1,1,2,5,6,171,1,0,0,3,0,100
6,1,2,1,0,809,1,0,2,27,8,331,1,0,0,3,0,3
39,4,1,2,0,1683,1,0,0,7,0,178,1,0,0,3,0,0
13,9,2,2,0,107,1,1,0,27,1,47,14,0,0,3,0,100
19,7,1,0,1,140,1,1,0,18,9,68,2,0,0,3,0,103
34,2,1,2,1,481,0,0,0,17,9,243,0,0,0,3,0,103
36,1,1,0,0,1479,0,0,2,19,6,150,2,0,0,3,0,3
17,4,1,2,0,898,0,0,0,6,1,161,3,0,0,3,0,0
32,4,1,3,0,2713,0,0,2,4,6,888,1,0,0,3,0,102
16,4,1,2,0,1053,0,0,0,9,1,120,0,0,0,3,0,0
36,1,2,0,0,376,1,0,0,12,8,259,0,0,0,3,0,3
29,9,1,1,0,1590,1,0,0,1,3,137,2,38,2,2,0,101
25,9,1,2,0,2476,0,0,0,11,1,186,2,65,5,2,1,102
37,4,2,2,0,217,0,0,1,2,3,85,3,5,1,1,0,100
35,4,1,1,0,2567,1,0,2,28,8,72,0,0,0,3,0,3
41,5,1,1,0,666,0,0,0,7,5,161,0,0,0,3,0,0
9,1,2,1,0,483,1,0,2,6,8,189,3,0,0,3,0,3
18,7,2,1,0,730,1,0,2,6,8,88,1,0,0,3,0,3
25,4,1,2,0,418,1,0,2,25,8,46,1,0,0,3,0,3
12,4,2,2,0,831,0,0,0,11,1,178,2,0,0,3,0,0
33,2,1,0,0,993,0,0,0,17,9,326,0,0,0,3,0,0
11,1,1,1,0,1514,0,0,0,1,3,151,0,0,0,3,0,0
31,9,0,1,0,787,0,0,0,23,5,365,1,0,0,3,1,102
27,1,1,0,0,1158,0,0,0,4,1,102,2,0,0,3,0,0
5,1,2,1,0,2964,1,0,0,17,8,432,0,0,0,3,0,3
32,4,2,2,0,1189,1,0,0,7,8,205,0,0,0,3,0,3
24,2,1,2,0,2389,1,0,0,7,5,249,0,0,0,3,0,0
30,9,2,1,0,1021,1,0,0,16,0,104,0,0,0,3,0,0
20,9,2,1,0,359,1,0,2,29,8,426,6,0,0,3,0,100
30,4,0,2,0,1233,1,0,0,16,9,88,0,0,0,3,0,3
15,1,1,3,0,40,1,0,1,30,5,235,8,0,0,3,0,100
17,0,0,1,0,886,1,0,0,5,8,436,0,0,0,3,0,3
6,8,2,1,0,2076,0,0,0,8,2,388,0,0,0,3,0,0
28,4,1,2,0,755,1,0,0,14,11,1062,0,70,3,0,1,102
14,4,1,2,0,1158,0,0,0,27,1,11,14,0,0,3,0,100
42,5,1,0,0,554,0,0,0,9,5,119,2,0,0,3,0,0
37,10,1,2,0,3191,0,0,2,5,8,276,0,0,0,3,0,3
35,5,1,0,0,1510,0,0,0,27,4,198,0,0,0,3,0,0
11,0,2,1,0,949,1,1,2,22,8,351,0,0,0,3,0,100
33,1,1,3,0,708,1,0,2,3,6,15,12,0,0,3,0,100
15,1,1,1,0,697,0,0,0,14,0,164,0,0,0,3,0,0
26,0,2,1,0,390,1,0,0,9,5,97,0,0,0,3,0,0
14,1,1,1,0,526,1,0,2,20,8,171,1,0,0,3,0,3
36,3,1,0,0,618,0,0,0,28,5,90,1,0,0,3,0,0
35,1,1,0,0,2719,1,0,2,22,8,329,5,0,0,3,0,3
5,1,2,1,0,1703,1,0,2,2,6,98,2,0,0,3,0,3
26,2,1,2,0,603,0,0,0,8,9,246,0,56,1,2,1,102
17,1,1,1,0,1241,1,0,2,28,8,416,7,0,0,3,0,100
14,9,2,1,0,1589,0,0,0,26,1,17,22,0,0,3,0,100
12,0,1,0,0,492,1,1,0,15,0,321,0,0,0,3,0,100
12,9,2,1,0,66,1,1,2,25,8,873,0,0,0,3,0,100
32,4,1,2,0,126,1,0,2,14,8,224,1,0,0,3,0,3
28,4,0,1,0,499,1,1,2,4,8,186,1,0,0,3,0,100
12,9,2,1,0,124,1,1,0,4,8,658,1,240,6,0,1,101
18,4,2,2,0,3161,1,0,0,20,9,172,0,0,0,3,0,3
22,1,1,0,0,814,1,0,0,11,8,337,1,320,3,0,0,101
14,4,2,2,0,638,1,0,0,3,3,80,1,202,6,0,0,101
52,5,1,1,0,3309,0,0,0,9,7,120,0,0,0,3,1,102
18,9,2,1,0,518,0,0,0,28,1,490,1,0,0,3,0,0
18,9,1,1,0,1727,1,0,0,17,9,80,0,133,3,0,0,101
16,1,1,1,0,1163,1,0,2,13,8,243,1,0,0,3,0,3
20,2,0,2,0,3422,0,0,0,7,5,180,2,0,0,3,0,0
26,6,1,1,0,1186,0,0,2,4,9,202,0,0,0,3,1,102
22,4,2,1,0,3507,0,0,0,17,9,409,2,7,1,0,0,101
20,0,1,3,0,511,0,0,2,19,8,703,0,0,0,3,0,102
69,5,1,2,0,1033,0,0,1,18,1,1067,4,0,0,3,0,102
12,4,2,2,0,1974,1,0,0,14,8,249,0,0,0,3,0,3
31,1,1,0,0,2947,0,0,2,19,6,38,1,0,0,3,0,3
25,1,1,0,0,1055,0,0,0,1,3,235,0,0,0,3,0,0
27,1,1,0,0,1669,1,0,0,10,8,38,7,252,1,2,0,101
25,9,1,1,0,1056,0,0,0,1,3,227,0,0,0,3,0,0
24,4,2,2,0,915,1,0,2,24,6,373,1,0,0,3,0,3
15,4,1,1,0,2926,1,0,0,19,0,130,1,0,0,3,0,0
21,4,2,0,0,857,0,0,1,30,5,78,1,0,0,3,0,0
41,1,0,1,0,544,1,0,0,12,8,59,0,0,0,3,0,3
13,4,2,1,0,2317,0,0,0,15,0,85,1,0,0,3,0,0
13,4,2,2,0,829,1,0,0,26,1,57,5,0,0,3,0,0
32,2,1,1,0,1036,1,0,2,15,8,128,1,0,0,3,0,3
14,9,2,2,0,1502,1,0,0,16,0,113,0,0,0,3,0,0
10,8,2,1,0,860,1,0,0,16,0,344,0,0,0,3,0,0
12,2,1,2,0,848,0,0,0,12,1,73,5,0,0,3,0,0
14,1,2,0,0,2138,0,0,0,19,9,346,2,0,0,3,0,0
34,1,1,1,0,2264,1,0,2,14,8,815,4,0,0,3,0,102
18,0,2,1,0,727,1,0,0,5,8,157,0,0,0,3,0,3
20,9,2,2,0,483,1,0,0,0,6,69,0,0,0,3,0,0
28,4,0,2,0,353,1,1,2,26,8,105,1,0,0,3,0,100
35,9,0,3,0,1109,1,0,0,7,8,296,0,0,0,3,0,0
10,9,2,1,0,663,1,0,0,27,5,137,2,0,0,3,0,0
32,4,0,2,0,185,1,1,0,20,5,170,0,0,0,3,0,100
24,9,2,1,0,52,1,0,0,10,8,187,0,0,0,3,0,3
24,0,1,1,0,1476,0,0,2,8,6,146,2,0,0,3,0,3
31,1,1,0,0,2826,1,1,0,10,8,565,0,239,2,1,0,101
30,7,1,1,0,381,1,0,0,19,0,95,1,274,2,1,0,101
21,3,1,0,0,385,1,1,0,10,8,936,1,0,0,3,0,100
10,4,2,2,1,1779,1,0,0,7,5,292,0,365,1,0,1,103
24,7,1,1,0,591,1,1,0,12,8,223,1,316,7,0,0,101
32,7,1,1,0,802,0,0,1,20,2,292,2,268,4,2,1,101
16,7,2,1,0,749,0,0,0,7,5,447,1,0,0,3,1,102
23,6,1,1,0,484,0,0,0,18,1,53,3,0,0,3,0,0
15,7,1,1,0,3010,1,0,0,20,9,378,1,0,0,3,0,3
16,4,1,2,0,662,0,0,0,15,6,296,2,0,0,3,0,0
30,0,1,1,0,2419,0,0,0,28,0,695,1,378,1,0,0,101
35,5,1,1,0,1690,1,0,2,16,6,113,0,0,0,3,0,3
14,4,2,2,0,1054,1,0,0,13,0,257,1,107,3,0,0,101
52,5,1,1,0,2537,0,0,0,25,10,65,0,0,0,3,0,0
12,4,0,1,0,520,0,0,2,11,8,260,1,0,0,3,0,3
10,6,2,1,0,551,0,0,0,29,0,155,0,0,0,3,0,0
12,4,1,2,0,832,0,0,0,28,4,326,1,0,0,3,0,0
11,7,1,1,0,3562,1,0,2,27,8,270,1,0,0,3,0,3
22,1,1,1,0,1871,1,0,0,13,5,202,2,0,0,3,0,0
18,6,1,2,0,1167,1,0,0,27,8,565,7,0,0,3,0,100
26,9,1,1,0,1710,0,0,0,3,6,75,1,0,0,3,0,0
32,2,1,2,0,3465,1,0,0,19,9,139,0,0,0,3,0,3
15,9,1,1,0,1148,1,1,0,12,8,739,1,134,4,1,0,101
40,4,1,1,0,1304,0,0,2,8,6,162,0,0,0,3,0,3
