Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,cluster
0,0,0,0,1,0,1871,4776,0,0,1,2,1,1,9,1,0,0,101
0,0,0,0,2,0,1871,4776,0,0,2,2,2,0,2,2,0,0,101
1,22,0,0,21,5519,0,1379,0,0,1,1,1,0,0,2,0,0,102
2,799,0,0,15,1636,0,1200,1670,0,6,2,1,3,1,0,0,1,100
0,0,1,0,34,8998,1402,4352,0,4,6,2,1,0,2,2,0,0,101
0,0,0,0,7,2122,0,3101,2294,0,7,1,1,1,6,2,1,1,100
4,1651,0,0,18,3361,0,3553,0,0,6,2,1,1,3,2,0,0,0
0,0,0,0,16,2625,1749,4642,0,1,6,2,1,0,12,2,0,0,101
11,1731,6,938,172,8858,51,711,98,2,6,1,6,6,2,2,0,0,103
0,0,0,0,2,0,1871,4776,0,0,5,1,1,2,2,2,1,0,101
0,0,0,0,4,242,0,4164,0,0,7,1,1,6,0,2,0,0,3
0,0,0,0,12,4662,0,1905,2147,0,1,1,5,0,5,0,0,1,100
8,2746,1,233,12,1894,1057,1398,0,0,9,2,1,0,3,2,0,0,102
4,1401,1,91,24,6794,0,1335,0,0,6,1,1,0,3,2,0,0,102
3,988,0,0,8,975,0,2156,0,0,7,1,1,2,1,2,0,0,0
0,0,0,0,3,0,1871,4776,0,3,6,2,1,0,12,2,0,0,101
2,751,0,0,17,4729,1492,3705,1846,0,9,2,1,3,0,2,0,1,100
2,1227,4,524,20,4976,841,3597,2442,0,1,2,1,2,1,2,0,0,103
0,0,0,0,5,1281,1667,4574,0,3,6,2,1,2,1,2,0,0,101
4,1659,0,0,16,1878,0,825,0,0,8,0,0,2,1,2,1,0,102
0,0,0,0,11,859,1631,4524,0,0,7,2,1,1,0,2,0,0,3
1,17,0,0,4,166,0,1095,0,0,5,2,1,2,0,2,0,0,0
2,112,0,0,22,5477,0,2871,0,0,8,1,4,0,2,2,0,0,102
0,0,0,0,5,1689,0,3837,0,0,6,1,1,5,12,2,0,0,101
2,746,0,0,38,4512,547,3700,0,0,7,0,0,2,0,2,0,0,102
3,202,0,0,2,15,1803,4539,0,0,1,0,0,3,7,2,0,0,101
0,0,0,0,1,0,1871,4776,0,0,5,1,1,3,0,2,0,0,3
6,2236,2,286,60,8456,174,679,0,0,5,2,1,0,9,2,0,0,103
8,1729,3,1172,34,4333,896,3307,0,0,5,1,3,0,0,2,0,0,103
2,793,0,0,19,3537,0,106,0,0,5,2,1,1,8,0,1,0,102
0,0,1,341,58,8751,1255,3748,0,0,7,1,4,0,0,2,0,1,100
0,0,0,0,18,710,1655,4516,0,0,6,3,0,0,1,2,1,0,101
9,2681,4,603,154,9392,765,3050,0,0,6,1,1,0,4,2,0,0,103
0,0,0,0,12,3810,1631,4420,0,4,6,1,1,0,5,2,0,0,101
0,0,0,0,22,2622,1333,2510,0,3,6,2,1,6,12,2,0,0,101
3,412,0,0,26,3336,0,430,2352,0,7,1,4,0,4,0,0,1,100
0,0,0,0,42,7267,1434,3865,0,0,7,0,0,0,12,2,1,1,101
0,0,0,0,26,3311,966,2471,0,0,1,3,1,0,7,2,0,0,101
3,266,3,140,258,9488,1095,2678,0,0,7,2,1,0,12,2,1,0,103
10,1759,0,0,11,322,0,93,0,0,0,1,1,0,1,0,0,0,102
0,0,1,28,35,4957,1279,4278,0,5,6,1,1,0,3,2,1,0,101
0,0,0,0,18,3283,0,3347,0,0,5,0,0,0,1,2,1,0,102
7,1915,0,0,36,7089,0,627,438,0,5,0,0,0,9,2,0,1,100
4,1555,0,0,7,1036,0,260,0,0,7,1,1,0,7,0,1,1,100
0,0,0,0,28,1969,1687,4647,0,0,0,1,1,0,1,2,0,0,101
0,0,2,48,93,8707,1303,2548,0,0,6,0,0,4,3,2,0,0,102
0,0,0,0,10,1411,0,2927,0,0,5,1,1,0,0,2,0,0,0
1,345,2,351,46,4633,0,1499,0,0,5,1,1,0,9,2,0,0,102
7,2254,0,0,14,2112,1765,4596,0,0,4,2,1,3,2,2,0,0,3
2,179,0,0,6,3319,0,1095,0,0,5,1,1,2,7,0,0,0,102
3,1502,0,0,24,4270,0,463,0,0,8,1,4,6,1,0,1,0,102
0,0,0,0,32,7975,0,879,0,0,7,1,1,2,6,2,0,0,0
11,2736,0,0,91,7931,216,2012,969,0,1,1,1,3,2,2,0,0,102
0,0,0,0,15,2719,1563,4440,0,0,5,2,1,3,0,2,1,0,101
10,3161,0,0,53,6714,737,2755,0,0,7,2,1,0,0,2,0,0,102
4,687,1,0,19,3423,981,4149,1658,0,6,1,1,0,2,2,1,1,100
0,0,2,72,4,458,0,3473,0,0,7,1,1,3,1,2,1,0,101
3,165,1,0,15,7473,1057,4522,0,0,6,3,0,0,0,2,0,0,101
0,0,2,128,11,5547,0,3300,0,0,5,2,1,0,2,2,0,0,102
0,0,0,0,4,402,0,2758,0,0,1,1,4,0,7,0,1,0,102
3,577,0,0,4,68,0,3837,0,0,3,0,0,2,3,0,0,0,102
1,2,1,0,77,7968,570,2912,0,0,1,1,1,0,1,2,0,1,100
0,0,0,0,11,3993,0,2927,0,0,7,2,1,2,5,2,0,0,0
4,3272,0,0,19,6633,921,3946,0,0,1,1,1,2,0,2,0,0,102
0,0,0,0,38,3751,1511,4332,0,0,4,1,3,8,2,2,0,0,101
5,372,0,0,4,923,0,0,2123,0,0,3,1,0,1,2,0,1,100
4,956,0,0,2,53,1603,2443,0,0,1,0,0,0,1,0,0,0,102
6,3138,6,714,8,1536,1492,3922,0,0,0,2,1,3,1,2,1,0,103
0,0,0,0,69,8693,158,2198,0,0,7,1,0,0,1,2,0,1,100
14,1670,6,1208,154,9354,554,2352,804,0,7,3,0,3,0,2,0,1,103
6,3071,0,0,49,5779,811,2003,0,0,1,1,1,2,12,2,1,0,102
0,0,0,0,9,1569,0,306,1340,0,6,2,1,5,10,2,0,1,100
1,13,0,0,14,5734,0,244,1410,0,7,1,1,5,9,0,1,1,100
2,307,0,0,28,4325,1518,3595,0,0,7,0,0,0,2,2,0,0,101
1,421,0,0,5,1424,0,3473,0,0,9,1,1,4,3,0,1,0,102
0,0,0,0,10,1449,0,4079,0,0,7,1,3,6,5,2,1,0,101
1,203,1,912,10,669,1189,3669,1178,0,9,1,1,0,1,2,0,1,100
0,0,0,0,20,7526,557,3540,0,4,6,0,0,0,2,2,0,0,101
3,1509,2,123,3,2341,0,3946,0,2,6,1,1,3,2,0,0,0,102
1,2138,0,0,34,6478,664,481,0,0,7,0,0,7,1,2,0,0,102
4,1111,0,0,14,1926,0,1200,2559,0,3,1,1,4,1,0,0,1,100
1,151,1,780,11,4637,1279,4164,0,0,5,0,0,3,1,2,0,0,101
2,650,1,939,6,1394,1696,4079,1015,0,8,2,1,2,6,2,0,0,101
3,445,5,892,7,826,0,1307,0,0,5,2,1,1,1,2,0,0,103
0,0,0,0,41,5594,0,1503,0,0,1,1,1,7,1,0,0,0,102
1,1008,0,0,16,4541,0,1536,1769,0,1,1,1,6,1,0,0,1,100
0,0,0,0,2,34,0,4673,0,0,1,1,1,0,9,2,0,0,101
5,2426,0,0,29,4170,664,2885,1984,0,7,3,0,7,0,2,0,1,100
3,856,1,0,19,3873,1449,3424,1047,0,7,0,0,2,1,2,0,0,101
7,1638,0,0,52,7833,747,829,0,0,5,2,1,0,1,2,0,0,0
12,2270,0,0,13,1629,0,755,0,0,1,1,9,0,2,0,0,0,102
0,0,0,0,6,6692,1725,4453,0,1,2,0,0,0,2,2,0,0,101
6,1765,0,0,28,5049,0,1200,2331,0,5,1,1,0,1,2,0,1,100
3,1067,0,0,8,675,0,260,0,0,6,2,1,3,1,2,0,0,0
0,0,0,0,14,2575,0,2634,0,0,1,0,0,0,1,2,1,0,102
2,947,1,221,40,5746,0,1272,0,0,7,1,9,2,1,2,0,0,102
2,49,0,0,43,8086,896,2803,0,0,5,1,3,6,0,2,0,0,102
0,0,0,0,3,741,0,4673,0,0,5,1,1,2,1,2,0,0,3
5,2309,0,0,21,5185,459,587,2172,0,6,2,2,0,3,2,0,1,100
2,244,0,0,13,6858,0,3473,0,0,6,1,1,0,1,2,0,0,0
4,1320,1,125,16,3165,0,232,0,0,6,2,2,1,1,0,0,0,102
0,0,0,0,17,2132,616,3285,1813,0,6,1,1,0,4,2,0,0,101
5,942,0,0,16,2838,1015,1690,0,0,5,2,1,3,1,2,1,0,102
0,0,0,0,5,868,0,4716,0,0,7,0,0,0,0,2,0,0,101
0,0,0,0,13,733,1858,4755,0,4,6,2,1,6,12,2,0,0,101
0,0,0,0,6,1917,0,4164,0,0,6,1,3,2,0,2,0,0,101
0,0,0,0,5,72,1667,4574,0,0,1,1,1,0,0,2,0,0,101
3,621,0,0,24,4598,0,746,0,0,5,1,9,0,2,0,0,0,102
0,0,0,0,24,6523,841,2897,0,2,6,1,3,1,2,2,0,0,101
0,0,0,0,8,640,0,3101,0,0,7,2,1,0,1,0,0,0,102
0,0,0,0,14,2788,0,1335,0,0,6,1,1,2,1,2,0,0,0
0,0,0,0,4,4415,0,4164,0,0,7,7,0,3,2,2,1,0,101
0,0,3,554,71,7976,103,1531,0,0,7,0,1,0,10,2,0,0,103
0,0,0,0,10,634,0,2156,0,0,7,0,0,0,4,0,1,0,102
0,0,0,0,20,3158,0,474,1929,3,6,1,1,0,3,0,0,1,100
0,0,0,0,65,7127,1467,3334,0,4,6,2,1,5,2,2,0,0,101
3,342,0,0,5,304,0,3705,0,0,7,0,1,0,7,0,0,0,102
0,0,0,0,3,34,1835,4702,0,0,5,0,0,0,0,2,0,0,101
4,2789,0,0,115,9095,726,2421,0,2,6,1,1,2,12,2,0,0,102
0,0,0,0,8,505,0,4338,0,0,7,1,1,2,1,2,0,0,3
0,0,0,0,14,6626,1230,3300,0,0,6,1,9,1,1,2,0,0,101
6,1262,0,0,171,9451,838,3075,0,0,1,2,1,2,1,2,0,1,100
0,0,0,0,13,3343,0,1495,2040,0,7,0,0,0,1,0,0,1,100
4,345,1,120,34,6250,0,74,0,0,7,1,1,2,1,2,0,0,102
1,335,0,0,37,6557,0,2057,1288,2,6,1,5,0,2,2,0,1,100
1,65,0,0,64,8042,1308,3534,0,0,6,1,3,3,1,2,0,0,101
7,1200,0,0,24,2625,821,1027,0,0,1,0,0,0,2,2,0,0,102
4,829,0,0,27,2867,0,1495,0,0,1,3,0,2,0,2,1,0,102
3,523,0,0,55,5617,400,3427,600,0,1,1,1,2,9,2,0,0,102
1,17,0,0,15,2619,0,2015,0,0,6,1,3,6,1,2,0,0,102
0,0,0,0,5,226,0,3837,0,0,1,2,1,2,5,2,0,0,101
2,1835,0,0,36,5017,1584,4125,0,1,6,2,1,0,12,2,0,0,101
8,2813,2,292,31,6242,1015,3035,1198,0,7,0,0,0,1,2,0,0,103
0,0,0,0,51,3068,811,981,1078,0,8,2,1,0,0,2,1,1,100
0,0,0,0,2,0,1871,4776,0,0,5,0,0,0,0,2,0,0,101
0,0,0,0,13,1094,0,0,0,0,9,1,4,3,0,2,0,0,102
1,180,0,0,9,2434,0,2156,0,0,7,1,3,0,1,2,0,0,102
12,2683,0,0,202,9471,153,851,1785,0,6,1,1,0,0,2,0,0,103
0,0,0,0,6,288,1015,4702,0,2,6,1,1,4,3,2,0,0,101
3,136,1,0,105,8327,916,2323,0,0,6,1,1,7,3,2,1,0,102
7,1227,1,120,15,5339,981,2057,0,0,1,0,0,2,1,0,0,1,100
1,173,0,0,13,1476,0,0,2413,0,0,1,4,2,3,0,0,1,100
0,0,0,0,27,7235,1207,2263,0,0,9,0,0,0,2,2,0,0,101
4,3027,0,0,77,6455,0,106,0,0,6,1,1,3,1,2,0,0,102
1,0,0,0,3,0,1871,4776,0,0,6,0,0,3,3,2,1,0,101
0,0,0,0,2,5816,0,4164,0,0,6,2,2,2,0,2,0,0,101
0,0,2,330,6,390,0,4338,0,2,6,1,1,0,1,2,0,0,101
1,673,0,0,20,4757,0,2176,0,0,6,1,3,2,2,2,0,0,102
0,0,0,0,24,5349,1449,4401,0,0,1,1,9,3,0,2,0,0,101
0,0,0,0,9,3730,0,2758,2568,0,5,0,0,1,8,2,1,1,100
9,1333,0,0,19,4128,0,1999,0,0,8,1,1,6,3,2,0,0,0
2,465,3,309,218,9509,788,1418,0,0,7,1,1,0,1,2,0,0,103
14,1861,3,266,18,2734,0,899,0,0,8,1,1,0,2,2,1,0,103
3,210,0,0,188,9347,149,1381,2124,0,7,1,1,0,1,2,0,1,100
0,0,0,0,7,566,0,1335,0,0,5,1,3,0,1,2,1,0,102
1,5,0,0,39,5148,1230,1821,0,0,7,2,1,5,2,2,0,0,0
6,1569,3,840,120,8812,261,2613,821,0,7,1,1,3,1,2,1,0,103
0,0,0,0,7,417,1819,4747,0,0,7,1,3,2,0,2,0,0,101
0,0,0,0,3,253,1835,4673,0,0,7,2,1,5,5,2,0,0,3
6,1473,1,32,52,4139,128,371,418,0,6,2,1,3,10,2,0,0,102
1,0,0,0,28,7685,0,2350,785,0,8,0,0,2,1,2,0,1,100
2,506,4,125,11,5371,0,2927,0,0,1,1,1,0,1,0,0,0,102
0,0,0,0,8,1978,0,4164,0,1,6,1,1,2,3,2,0,0,101
0,0,0,0,6,4519,1725,4008,0,1,6,0,1,0,3,2,0,0,101
0,0,0,0,3,656,1725,4539,0,4,6,1,1,0,3,2,0,0,101
0,0,1,134,41,6917,952,1200,0,0,6,2,1,1,5,2,0,0,102
0,0,0,0,1,0,1871,4776,0,1,6,1,1,0,12,2,0,0,101
0,0,0,0,45,6760,0,1477,2237,0,5,1,1,0,1,2,1,1,100
4,1199,0,0,4,218,0,3101,0,0,5,1,1,0,0,2,0,0,0
0,0,0,0,12,2075,0,398,1521,0,1,1,4,3,0,2,1,1,100
9,2098,4,750,30,7776,584,3224,0,0,7,2,1,0,1,2,0,0,103
7,610,0,0,105,9048,620,1255,758,0,6,1,1,2,0,2,0,0,102
3,1918,0,0,22,6423,0,642,0,0,5,1,1,2,0,2,0,0,0
0,0,0,0,28,5043,1589,4067,0,0,1,2,1,0,0,2,0,0,101
0,0,0,0,22,4774,0,244,0,0,1,1,1,1,9,2,0,0,102
0,0,0,0,15,3511,0,1335,2607,0,7,0,7,2,10,2,1,1,100
9,1863,2,293,120,8536,524,2711,203,0,7,0,1,0,1,2,0,0,103
0,0,1,16,31,3793,0,2758,0,0,1,3,0,0,1,0,1,0,102
7,1979,3,558,11,1358,0,398,0,0,5,2,1,4,7,0,1,0,103
6,569,0,0,4,103,0,3473,0,0,6,1,1,8,4,0,0,0,102
0,0,0,0,5,560,0,3837,0,0,7,1,1,0,1,0,0,0,102
0,0,0,0,8,1947,0,4164,0,0,4,1,1,2,12,2,0,0,101
4,171,0,0,225,9474,799,2480,0,0,7,1,1,0,1,2,0,1,100
0,0,0,0,21,3112,0,825,1330,0,7,0,0,2,7,2,0,1,100
0,0,0,0,52,6817,800,3441,0,5,6,1,1,6,5,2,1,0,101
2,266,0,0,44,7974,1449,3973,0,0,6,1,1,0,5,2,0,0,3
0,0,0,0,1,0,1871,4776,0,0,1,1,1,0,12,2,0,0,101
0,0,0,0,48,6572,854,3311,1357,0,0,1,3,2,0,2,0,0,101
2,129,0,0,3,169,0,1095,0,0,6,2,1,3,3,2,1,0,102
2,160,0,0,20,3866,0,697,1476,0,5,3,0,0,2,2,0,0,102
0,0,0,0,13,5134,0,355,0,0,1,2,1,5,1,0,1,0,102
3,569,0,0,19,2993,0,755,0,0,5,0,0,2,8,2,1,0,102
0,0,0,0,35,3206,0,1059,333,0,3,1,1,2,3,2,0,1,100
2,556,0,0,42,4893,0,419,0,0,7,1,1,3,19,0,0,0,102
0,0,0,0,12,488,1868,4775,0,4,6,2,1,0,12,2,0,0,101
5,1556,1,103,36,8079,0,2289,1514,0,1,0,0,0,0,2,0,0,102
0,0,0,0,45,4653,0,801,0,0,5,0,0,2,0,2,0,0,102
0,0,1,0,43,2277,1688,4565,0,0,4,1,3,0,2,2,0,0,101
0,0,0,0,21,2130,737,423,1177,0,8,0,0,2,1,2,0,1,100
0,0,0,0,24,7254,1585,4469,0,0,9,1,1,3,12,2,0,0,101
1,335,0,0,9,1933,0,3837,0,0,5,0,0,5,8,0,1,0,102
3,428,0,0,15,1478,1189,3101,0,0,5,2,1,2,0,2,0,0,3
8,1709,1,1175,62,8071,841,1183,0,0,1,0,1,6,1,2,0,0,103
0,0,0,0,1,0,1871,4776,0,0,6,0,0,2,2,2,0,0,101
1,1462,0,0,21,4589,0,755,0,0,1,1,11,3,1,2,0,0,102
0,0,0,0,9,5721,0,2758,0,0,7,2,1,0,9,2,0,0,102
0,0,0,0,45,6430,518,3025,0,4,6,3,1,2,3,2,0,0,101
0,0,0,0,10,1199,0,3837,0,0,7,0,0,0,1,2,0,0,101
0,0,7,1162,162,9228,536,2051,0,0,7,1,1,0,0,2,0,0,103
0,0,0,0,1,0,1871,4776,0,2,6,2,1,0,0,2,0,0,101
3,354,2,194,18,5346,1468,3823,1223,0,5,2,1,1,2,2,1,1,100
2,137,0,0,28,3968,0,36,0,0,5,1,3,2,0,2,0,0,102
1,56,1,23,18,2700,0,161,0,0,7,0,0,3,2,2,0,0,102
0,0,0,0,7,1515,1545,939,0,0,5,2,1,0,5,2,1,0,101
1,30,0,0,25,3908,0,1774,0,0,5,1,1,6,1,2,0,0,0
0,0,0,0,4,246,0,4164,0,0,0,1,3,8,3,2,0,0,101
0,0,0,0,1,0,1871,4776,0,3,2,1,1,4,0,2,0,0,101
6,2808,0,0,13,5042,1440,4267,0,0,8,0,0,0,2,2,0,0,102
3,1440,0,0,37,5903,599,3283,736,0,6,1,1,0,1,2,0,0,102
2,124,0,0,22,4751,312,2115,2456,0,1,1,1,0,1,2,0,0,100
5,374,5,1155,12,1408,312,3625,0,0,0,1,1,1,1,2,0,0,103
1,195,0,0,79,6785,282,500,0,0,7,0,0,2,2,2,0,0,102
2,2094,1,264,71,8611,141,1447,0,0,5,1,1,4,2,2,1,0,102
2,143,1,352,53,6950,1612,4277,0,0,0,1,1,0,0,2,0,0,101
4,590,0,0,21,3517,1648,4550,0,0,1,1,1,3,0,2,0,0,101
1,9,0,0,40,8197,0,1080,0,0,3,1,9,1,1,2,1,0,102
1,0,0,0,39,7978,1296,4092,0,0,5,1,1,0,2,2,0,0,3
0,0,0,0,4,333,0,4593,0,2,6,1,1,2,3,2,0,0,101
14,921,5,745,168,8941,407,1968,1058,0,3,1,1,2,0,2,0,0,103
2,1618,2,313,20,2909,0,680,0,0,9,2,1,1,0,0,0,0,102
0,0,0,0,2,12,0,4453,0,0,7,1,1,7,5,2,0,0,3
5,1848,0,0,36,7115,0,225,0,0,5,1,1,2,9,2,0,0,102
0,0,1,10,50,6105,468,1061,470,0,6,3,0,3,19,2,0,1,100
0,0,0,0,57,4546,1620,4392,0,0,4,2,1,2,12,2,0,0,101
5,2336,4,490,26,3516,1519,2629,944,1,6,2,1,0,3,2,0,0,103
6,2613,1,28,92,8180,1283,2903,0,3,6,1,1,3,2,2,0,0,103
5,521,0,0,4,63,1440,3679,0,5,6,2,1,5,2,2,1,0,101
0,0,0,0,21,5164,952,1690,0,0,1,1,3,1,0,2,0,0,102
0,0,0,0,9,1499,1440,271,0,0,7,0,1,0,3,2,0,0,0
0,0,0,0,21,5590,921,3731,0,0,5,1,4,4,0,2,0,0,101
6,768,0,0,3,285,0,2443,1625,0,0,1,1,6,5,2,0,1,100
0,0,1,0,14,499,1854,4763,0,3,6,2,1,0,12,2,0,0,101
1,86,1,95,62,8724,1278,2969,327,0,1,2,1,2,0,2,1,0,102
1,1422,0,0,21,6403,0,697,0,0,7,0,0,1,1,0,0,0,102
1,2704,1,180,16,3686,0,367,1878,0,6,2,1,0,10,2,1,1,100
0,0,0,0,6,130,1783,4673,0,0,7,1,9,6,0,2,0,0,101
1,0,0,0,56,8111,1412,2765,0,0,7,2,1,0,1,2,1,1,100
11,3036,3,826,195,9274,670,1011,302,0,7,1,9,0,1,2,0,1,103
0,0,0,0,16,3121,0,0,0,0,3,0,0,0,3,2,0,0,102
0,0,0,0,24,3356,1508,4226,0,4,6,2,1,1,12,2,0,0,101
1,186,0,0,20,4945,0,697,2630,0,1,1,1,5,1,0,0,1,100
0,0,0,0,12,1675,0,3285,0,0,7,1,1,0,0,2,0,0,3
0,0,0,0,91,8650,237,432,0,0,1,2,1,0,0,2,0,0,102
2,710,0,0,26,3377,0,430,0,0,7,1,1,8,4,0,0,0,102
4,171,0,0,18,4158,0,1200,0,0,6,1,1,4,2,0,1,0,102
0,0,0,0,1,0,1871,4776,0,0,5,1,1,0,0,2,0,0,3
0,0,0,0,54,6437,851,216,0,0,7,0,0,0,1,2,0,0,102
0,0,0,0,14,3280,1189,3101,0,0,1,2,1,2,1,2,1,0,101
0,0,0,0,16,3739,0,3705,0,0,6,3,0,6,0,2,0,0,101
0,0,0,0,80,8743,265,2919,0,0,7,1,1,0,1,2,0,0,0
0,0,0,0,38,6588,0,206,0,0,7,3,1,3,1,2,0,0,0
0,0,0,0,5,1511,1667,4574,0,0,1,0,0,0,2,2,0,0,101
2,290,0,0,23,4508,1279,4164,0,0,6,1,1,6,3,2,1,0,101
0,0,0,0,8,1281,1775,4338,0,5,6,1,4,6,5,2,1,0,101
0,0,0,0,1,0,1871,4776,0,0,3,2,1,0,0,2,0,0,3
0,0,0,0,16,3788,0,2015,1205,0,6,1,1,6,1,2,0,1,100
7,1504,0,0,73,8672,0,188,1691,0,8,1,4,2,4,0,0,1,100
5,980,1,333,84,8215,0,97,0,0,5,1,1,8,2,0,1,0,102
4,1451,2,8,185,9411,386,1551,0,0,7,1,1,0,1,2,1,0,103
2,1003,0,0,24,2235,1044,1865,0,0,1,0,0,0,0,2,0,0,102
0,0,0,0,1,0,1871,4776,0,0,7,7,5,0,5,2,0,0,101
0,0,0,0,10,1441,0,2156,0,0,5,1,1,8,1,2,0,0,102
0,0,0,0,41,6643,0,559,0,0,5,2,1,0,0,2,1,0,102
4,631,2,121,16,3525,1361,1958,0,0,8,2,1,0,4,2,1,0,102
0,0,0,0,39,5089,1403,4295,0,0,6,1,1,0,3,2,0,0,3
5,661,2,1004,259,9502,129,586,845,0,6,1,1,0,3,2,0,0,103
1,629,0,0,32,6441,0,857,2642,0,7,1,1,0,1,2,1,1,100
0,0,0,0,50,7029,0,598,0,1,6,1,1,2,0,2,0,0,102
0,0,0,0,33,4828,0,129,789,0,8,1,1,2,1,2,0,1,100
2,38,0,0,36,2884,0,1549,2270,0,4,3,0,1,3,2,0,0,100
7,528,0,0,15,1940,0,899,0,0,8,1,1,0,1,0,0,0,102
0,0,0,0,4,3373,0,4164,0,0,3,1,1,8,0,2,0,0,101
1,1338,0,0,24,3925,0,3389,0,0,7,2,1,7,0,2,0,0,0
