age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,cluster,Target
8,8,2,1,1,134.4671173095703,0,0,0,30,1,138.7388458251953,1,0,0,3,103,0
14,8,1,2,0,734.4083862304688,1,1,0,8,3,124.363525390625,0,0,0,3,100,0
48,0,1,1,0,3405.10498046875,0,0,1,25,7,192.15696716308594,1,0,0,3,3,0
13,1,1,1,1,538.6551513671875,1,0,0,8,8,187.14244079589844,0,0,0,3,103,0
27,9,1,1,0,503.114501953125,1,0,2,28,6,120.5112533569336,12,0,0,3,3,0
18,9,2,1,0,3218.03564453125,0,0,0,3,1,58.19356155395508,3,0,0,3,102,1
26,4,1,0,0,1055.1820068359375,0,0,0,9,1,971.5369873046875,2,0,0,3,102,1
6,1,1,1,0,566.4134521484375,1,0,0,6,8,104.70891571044922,0,295,2,0,101,0
15,8,1,1,0,786.0118408203125,0,0,0,27,1,609.559326171875,0,0,0,3,102,1
33,5,1,0,0,739.5619506835938,0,0,2,6,8,262.5150146484375,0,0,0,3,3,0
17,9,1,1,0,267.59185791015625,1,0,0,9,2,57.477333068847656,1,0,0,3,0,0
16,7,1,0,0,454.07403564453125,0,0,0,11,8,142.38255310058594,0,0,0,3,102,1
18,5,1,1,0,3333.788818359375,1,0,1,15,1,95.5462875366211,2,0,0,3,3,0
10,3,1,1,0,776.560546875,1,1,0,3,7,314.8548583984375,0,299,4,3,102,1
23,9,2,1,0,1534.0567626953125,0,0,0,9,1,469.5389099121094,1,0,0,3,102,1
8,7,1,0,1,495.6625061035156,0,0,0,5,2,313.18963623046875,0,0,0,3,103,0
31,3,1,1,0,627.961181640625,1,1,0,9,3,141.18418884277344,1,0,0,3,100,0
45,3,1,1,0,3037.503662109375,0,0,0,5,1,193.06883239746094,0,0,0,3,102,1
36,1,1,1,1,891.5457153320312,1,1,1,28,8,334.7431945800781,1,0,0,3,100,0
52,6,1,1,0,1748.14794921875,0,0,1,6,2,235.19972229003906,0,0,0,3,0,0
13,9,1,2,0,3107.298828125,1,0,0,5,10,57.36301040649414,0,0,0,3,0,0
9,1,1,1,1,229.3595428466797,1,1,0,13,7,162.84315490722656,0,0,0,3,103,0
31,4,1,0,0,1238.0908203125,0,0,0,6,0,415.09442138671875,1,0,0,3,102,1
27,4,1,2,0,1416.8792724609375,0,0,0,4,1,127.4902572631836,2,5,3,2,101,1
7,6,2,1,1,436.10577392578125,0,0,0,13,2,243.92495727539062,1,2,0,3,103,0
18,4,1,3,0,2593.49267578125,1,0,0,23,5,229.7045135498047,0,0,0,3,0,0
7,4,1,1,0,817.3250122070312,0,1,0,26,8,153.18093872070312,0,33,0,0,101,0
35,0,2,1,0,578.519287109375,0,0,0,6,3,787.6995239257812,0,30,0,3,102,1
11,1,2,3,0,1395.7119140625,0,0,1,17,8,34.59855270385742,1,0,0,3,0,0
8,1,2,1,0,235.5944366455078,0,0,0,11,8,462.65087890625,0,0,0,3,100,0
6,0,1,1,0,250.17994689941406,1,0,0,14,8,166.81915283203125,1,292,11,1,101,0
15,4,1,2,0,3192.5087890625,1,0,2,8,9,298.8230285644531,2,0,0,3,3,0
17,2,0,1,0,947.1608276367188,1,0,2,6,8,21.659748077392578,1,0,0,3,3,0
13,1,1,0,0,862.5850219726562,1,0,0,11,8,85.42396545410156,0,63,0,3,102,0
8,1,1,1,0,868.4072265625,1,0,0,19,8,229.3682861328125,0,306,4,0,101,0
19,9,2,1,0,1694.2880859375,0,0,0,28,1,216.88360595703125,0,0,0,3,102,1
22,4,1,1,0,1199.08447265625,0,1,0,27,5,132.9659881591797,0,0,0,3,0,0
39,5,2,1,0,841.2740478515625,0,1,1,6,8,70.0002212524414,0,0,0,3,100,0
7,9,1,1,0,1320.38232421875,1,1,0,11,8,297.73956298828125,0,0,0,0,3,0
7,4,1,2,0,429.0572204589844,0,1,2,15,8,52.91836929321289,1,0,0,3,100,0
10,0,1,1,0,1361.649169921875,1,0,1,19,3,960.4937133789062,1,0,0,3,102,1
57,5,1,1,0,1200.27685546875,0,0,0,10,1,581.8253173828125,0,63,4,1,102,1
18,1,1,1,0,369.4340515136719,1,0,2,2,8,199.76852416992188,0,0,0,3,100,0
33,0,1,1,0,230.04678344726562,1,1,1,13,7,135.81922912597656,0,-1,0,3,102,1
10,9,1,1,0,1127.75146484375,0,0,0,6,2,627.48974609375,0,0,0,3,102,1
19,2,1,1,0,467.67999267578125,0,1,0,7,2,162.96945190429688,0,0,0,3,102,0
38,4,1,2,0,2694.515380859375,1,0,2,21,10,144.49310302734375,0,0,0,3,0,0
6,0,1,1,0,3475.204345703125,0,0,2,28,8,76.48517608642578,1,0,0,3,3,0
27,6,1,1,0,1468.3228759765625,0,0,0,6,1,606.072998046875,4,0,0,3,102,1
25,1,1,1,1,174.0059051513672,0,0,1,21,7,251.54061889648438,0,0,0,3,103,0
15,4,1,2,0,455.59613037109375,1,0,0,20,1,91.72532653808594,0,135,2,0,101,0
44,7,1,1,0,978.8631591796875,0,0,0,10,4,118.43612670898438,0,37,2,0,101,0
18,1,1,0,0,3339.609619140625,1,0,0,18,1,974.6761474609375,2,0,0,3,102,1
13,4,2,2,0,1163.493896484375,0,0,0,12,8,19.4314022064209,1,133,3,0,101,0
18,8,1,1,0,519.9112548828125,0,0,0,21,1,55.810264587402344,2,0,0,3,0,0
36,1,1,1,0,1408.16748046875,1,0,0,9,7,277.7577819824219,2,291,1,0,101,0
15,4,1,2,0,1821.23291015625,1,0,0,9,8,12.293055534362793,1,288,15,0,101,0
16,0,2,1,0,1965.443115234375,1,0,0,5,7,152.3325958251953,1,373,4,0,101,0
19,4,2,1,1,111.31575012207031,0,0,0,30,1,77.28706359863281,5,0,0,3,103,0
18,7,1,1,1,106.97814178466797,0,1,0,26,7,257.7437744140625,0,0,0,3,103,0
15,7,1,1,1,603.1900634765625,1,0,0,9,8,66.14517211914062,1,226,2,0,103,0
16,9,2,1,0,1116.5311279296875,0,0,0,11,1,1055.839599609375,4,0,0,3,102,1
36,6,1,1,0,523.15625,0,0,0,17,0,1005.0203857421875,1,0,0,3,102,1
15,1,1,0,0,1133.8089599609375,1,0,2,15,8,44.79161834716797,1,0,0,3,3,0
18,4,1,0,0,838.0756225585938,0,0,0,5,5,304.5914306640625,0,0,0,3,0,0
16,7,1,1,0,505.350830078125,0,0,0,25,1,34.45201873779297,5,0,0,3,102,1
22,7,1,1,0,490.87469482421875,0,0,2,2,6,63.884185791015625,0,0,0,3,100,0
8,4,0,2,1,525.439697265625,1,0,2,22,8,371.166259765625,1,0,0,3,103,0
19,1,1,1,1,124.97808074951172,0,0,0,26,7,407.2331237792969,0,0,0,3,103,0
65,5,1,1,0,3835.618896484375,0,0,1,12,1,146.30303955078125,4,12,0,1,0,0
6,11,1,1,1,757.2867431640625,1,0,0,22,2,258.0641784667969,0,0,0,3,102,1
20,9,1,2,0,2796.69873046875,0,1,0,8,6,42.728981018066406,12,0,0,3,100,0
16,4,1,2,0,802.5599975585938,1,0,0,6,8,184.81607055664062,0,0,0,3,3,0
63,5,1,1,0,2711.971923828125,0,0,0,6,1,165.44638061523438,0,0,0,3,102,1
19,9,2,1,0,1090.7113037109375,0,0,0,27,1,247.63565063476562,0,0,0,3,102,1
46,0,1,1,0,3665.040283203125,0,0,1,27,6,209.66668701171875,1,0,0,3,102,1
20,3,1,1,0,3331.367919921875,0,0,0,23,1,104.86805725097656,2,0,0,3,102,1
8,6,1,1,0,559.6857299804688,0,1,0,8,4,135.7653045654297,0,0,0,3,100,0
50,9,1,1,0,1035.87744140625,0,0,0,5,1,1088.815673828125,2,0,0,3,102,1
33,4,1,1,0,493.77325439453125,0,0,0,8,5,127.25405883789062,0,0,0,3,0,0
11,7,1,1,1,163.65928649902344,1,0,2,9,8,325.882568359375,0,0,0,3,103,0
32,9,1,1,0,3003.013427734375,0,0,0,19,3,211.54571533203125,1,0,0,3,0,0
36,0,1,1,0,3524.591552734375,0,0,1,18,8,391.7958679199219,1,0,0,3,3,0
15,5,1,0,0,982.88037109375,0,0,0,9,8,501.8439025878906,0,41,4,2,102,1
20,4,1,1,0,951.6825561523438,0,0,0,29,1,89.56121063232422,2,0,0,3,100,0
17,3,1,1,0,951.1766967773438,1,0,0,25,8,276.01690673828125,0,145,4,0,101,0
12,9,1,1,0,564.2406005859375,0,1,0,27,5,58.028133392333984,1,0,0,3,0,0
58,4,1,2,0,2659.493896484375,0,0,0,21,9,232.7698211669922,1,0,0,3,102,1
8,8,2,1,0,1189.8731689453125,0,0,0,12,2,663.4065551757812,2,0,0,3,102,1
9,9,1,1,0,3383.879150390625,1,0,0,3,8,237.51344299316406,0,299,8,0,101,0
15,9,2,1,0,661.1549072265625,1,0,0,11,1,266.7462463378906,1,135,1,1,101,0
13,6,0,1,0,1929.588623046875,1,0,0,11,2,495.192626953125,2,-1,0,3,102,1
19,1,1,1,0,856.371826171875,1,0,0,20,0,139.2311553955078,3,0,0,3,0,0
9,9,1,2,0,245.23365783691406,1,0,0,18,8,557.13671875,1,0,0,3,102,1
9,8,2,1,0,873.0198364257812,0,1,0,9,1,68.8078384399414,6,146,3,1,101,0
20,1,1,0,0,1011.6456298828125,1,0,2,4,8,292.7860107421875,4,0,0,3,3,0
11,4,0,1,1,93.25886535644531,0,1,0,7,7,297.0811767578125,1,0,0,3,103,0
34,9,1,1,0,558.9505615234375,0,0,0,18,6,55.35066604614258,4,0,0,3,102,0
35,1,1,0,0,920.8731689453125,0,1,0,5,8,331.2442321777344,0,0,0,3,102,1
10,0,1,1,1,1383.3438720703125,1,0,2,3,8,135.0704345703125,0,0,0,3,103,0
13,0,1,1,1,351.1767883300781,1,0,0,12,2,358.1734619140625,1,0,0,3,103,0
38,5,1,1,0,514.76123046875,0,0,1,8,6,91.71942138671875,2,0,0,3,0,0
16,1,1,0,0,484.05279541015625,1,0,0,8,8,184.2342987060547,0,0,0,3,101,0
12,1,1,1,0,757.5188598632812,1,1,2,19,8,473.9313049316406,2,0,0,3,100,0
17,9,1,1,0,1751.2022705078125,0,1,2,1,6,134.1501922607422,1,0,0,3,100,0
14,8,2,1,0,733.9046020507812,0,0,0,17,8,620.8391723632812,1,0,0,3,0,0
44,5,1,1,0,3430.19189453125,0,0,0,3,7,234.8563232421875,0,60,4,2,102,1
47,5,1,0,0,1183.571533203125,0,0,1,15,1,68.95038604736328,2,0,0,3,100,0
29,4,1,2,0,736.9388427734375,0,1,0,4,8,218.87921142578125,0,0,0,3,100,0
17,9,1,1,0,1238.0377197265625,0,0,0,2,1,216.7445831298828,0,0,0,3,0,0
21,4,2,1,0,482.22625732421875,0,0,2,25,8,95.4654312133789,1,0,0,3,3,1
26,7,1,1,0,468.3883056640625,0,0,0,5,2,629.7560424804688,0,0,0,3,102,1
12,9,1,1,0,1289.1827392578125,0,0,0,3,3,89.5963134765625,2,0,0,3,0,0
33,9,1,2,0,3282.340087890625,1,0,0,3,6,323.65972900390625,0,0,0,3,102,1
29,3,1,1,0,1181.3046875,0,0,0,13,7,129.46432495117188,0,58,4,0,101,0
32,7,1,1,1,273.0635986328125,0,0,0,7,2,129.38833618164062,2,0,0,3,103,0
14,1,1,0,0,3600.005859375,0,0,0,11,1,433.9366149902344,0,0,0,3,102,1
40,2,1,1,0,853.7316284179688,0,1,2,18,8,123.55577087402344,0,0,0,3,100,0
28,9,0,1,0,1169.49560546875,1,0,0,5,3,192.16636657714844,0,0,0,3,102,1
13,4,1,2,1,567.4484252929688,0,0,0,18,2,336.85894775390625,2,0,0,3,103,0
53,0,1,1,0,1121.58740234375,0,0,1,11,7,815.6655883789062,0,0,0,3,102,1
15,4,1,2,0,2275.37841796875,1,0,0,3,6,149.73068237304688,0,56,2,2,3,0
41,6,1,1,0,1354.2724609375,0,0,0,9,7,216.75843811035156,0,134,2,1,102,1
14,4,1,2,0,3627.811279296875,0,0,0,22,9,352.4573669433594,1,136,22,1,101,0
20,2,1,1,1,503.5181884765625,0,0,0,4,2,270.7918395996094,4,0,0,3,103,0
33,3,1,1,0,564.3579711914062,0,0,0,21,1,66.57579803466797,1,138,0,1,102,1
6,0,1,1,0,709.8580932617188,1,0,2,27,8,429.4962158203125,1,0,0,3,3,0
13,0,2,1,0,1116.06396484375,1,0,1,26,7,37.632591247558594,8,0,0,3,100,0
10,7,1,1,0,474.7148132324219,0,0,0,21,8,118.399169921875,2,0,0,3,3,0
1,4,2,2,0,797.348876953125,0,0,2,4,8,246.3065948486328,1,0,0,3,3,0
14,9,2,1,0,528.660888671875,0,0,0,24,1,812.038330078125,1,0,0,3,102,1
7,4,1,2,0,476.99114990234375,1,0,0,5,8,46.927894592285156,1,0,0,3,3,0
22,7,2,1,0,575.4420776367188,0,0,0,26,8,378.9248962402344,0,0,0,3,103,0
13,4,2,1,0,2280.364990234375,1,0,0,19,8,231.8524932861328,4,0,11,1,100,0
21,1,1,1,0,1122.6148681640625,1,0,0,8,8,66.51271057128906,0,293,17,1,101,0
28,9,1,1,0,1711.4559326171875,0,0,0,12,1,833.7398071289062,2,0,0,3,0,0
22,9,2,1,0,531.1165161132812,1,0,2,14,8,207.60247802734375,3,0,0,3,3,0
39,4,1,0,0,1623.4979248046875,0,0,0,8,8,172.81472778320312,0,238,2,0,101,0
20,4,1,2,0,507.4358215332031,0,0,0,4,4,121.64236450195312,0,0,0,3,0,0
10,1,1,0,0,473.22412109375,1,0,0,17,8,43.949188232421875,1,295,2,0,101,0
13,3,0,1,0,620.9140014648438,1,0,0,3,0,633.7832641601562,1,0,0,3,102,1
17,1,1,1,0,721.7676391601562,1,0,0,25,5,127.8118896484375,0,0,0,3,0,0
27,4,1,1,0,2182.73876953125,0,0,0,5,1,231.90768432617188,0,28,0,2,102,1
1,8,0,1,1,105.92466735839844,1,0,0,6,0,200.5023956298828,0,0,0,3,103,1
24,1,1,0,1,136.1413116455078,1,1,0,4,7,282.75579833984375,0,0,0,3,103,0
36,0,1,1,0,784.0308837890625,0,0,2,2,6,-10.979174613952637,0,0,0,3,100,0
5,0,1,1,0,781.0845947265625,1,0,0,2,6,269.24261474609375,0,63,3,0,101,0
15,9,1,2,0,3411.021240234375,1,0,0,21,9,422.8384704589844,0,0,0,3,102,0
13,9,1,1,0,2128.2783203125,1,0,0,6,5,328.4895935058594,0,0,0,3,3,0
7,9,0,1,0,1117.28369140625,1,0,0,6,10,352.56170654296875,0,1,0,3,102,1
20,8,2,1,0,127.19750213623047,0,0,1,19,7,157.60694885253906,2,0,0,3,103,0
33,4,1,1,0,1753.9786376953125,0,0,0,6,2,239.3739776611328,0,136,2,2,102,1
11,0,1,1,0,1311.36669921875,1,0,2,7,6,36.45124816894531,2,0,0,3,3,0
12,8,2,1,1,537.2799072265625,0,0,0,29,7,42.48997497558594,1,0,0,3,103,0
33,8,1,1,0,1350.2655029296875,0,0,0,27,7,178.9998016357422,2,-1,0,3,102,1
31,2,2,1,0,896.4655151367188,0,0,0,29,6,91.99715423583984,1,0,0,3,100,0
18,0,2,1,0,440.0050048828125,0,0,2,11,8,544.5064086914062,1,0,0,3,102,1
35,4,1,2,0,509.2533264160156,0,0,2,6,8,136.96900939941406,0,0,0,3,3,0
45,8,0,1,0,646.2363891601562,0,0,0,7,2,337.1383972167969,1,0,0,3,102,1
5,6,0,1,1,243.9942626953125,1,0,0,7,7,111.24652099609375,0,0,0,3,103,0
13,8,2,1,0,790.4284057617188,1,1,0,8,8,261.4033508300781,0,0,0,3,102,1
11,8,1,1,1,783.5595703125,1,0,0,11,1,322.8221130371094,1,0,0,3,103,0
17,9,2,1,0,522.5529174804688,0,1,2,2,6,32.43841552734375,16,0,0,3,100,0
14,8,1,1,0,1626.3173828125,0,0,0,20,5,363.7080078125,2,0,0,3,0,0
13,9,1,1,0,3211.888916015625,0,0,0,18,1,619.0242309570312,2,0,0,3,102,1
21,4,1,1,0,553.3949584960938,0,0,0,27,1,215.92794799804688,7,0,0,3,100,0
10,0,1,1,0,3494.450927734375,1,0,0,3,8,171.3451385498047,0,0,0,3,3,0
38,4,1,2,0,453.5526123046875,0,0,0,17,8,519.1959228515625,0,0,0,3,102,1
15,0,2,1,0,3805.87744140625,1,0,0,5,8,87.27654266357422,1,277,11,1,101,0
13,4,2,2,0,2578.01611328125,0,1,0,18,8,392.9425354003906,1,135,4,1,101,0
18,9,0,1,1,316.49029541015625,1,0,0,8,2,58.616546630859375,4,0,0,3,103,0
58,8,1,1,0,2465.906982421875,0,0,0,19,2,617.8853759765625,2,0,0,3,102,1
18,0,2,1,0,1570.7513427734375,1,1,0,8,8,238.30349731445312,0,251,4,0,101,0
3,9,0,1,0,603.9963989257812,1,0,0,6,5,289.6557312011719,0,0,0,3,102,1
11,8,2,1,0,894.931640625,0,0,0,10,8,213.46107482910156,0,54,4,2,102,1
42,1,2,0,0,533.290771484375,0,0,2,26,8,59.238162994384766,0,0,0,3,3,0
28,9,1,1,0,1242.6356201171875,1,0,0,5,0,1136.8785400390625,1,-1,0,3,102,1
2,4,1,1,0,463.6585693359375,0,0,2,15,8,752.8674926757812,0,0,0,3,102,1
35,4,1,2,0,707.3277587890625,0,0,0,14,8,127.7166748046875,0,0,0,3,0,0
26,9,1,2,0,237.8689422607422,1,0,2,20,6,411.0470275878906,2,0,0,3,3,0
20,4,1,1,0,1051.396240234375,0,0,0,12,4,959.08935546875,2,0,0,3,102,1
40,4,1,1,0,490.65643310546875,0,0,0,22,1,98.8206558227539,0,0,0,3,0,0
18,3,2,1,0,1299.2335205078125,1,0,0,10,0,739.3665771484375,0,25,9,0,101,0
4,9,1,1,0,772.7957153320312,1,0,2,22,8,625.29736328125,0,0,0,3,102,1
44,9,1,1,0,3639.109375,0,0,1,20,1,560.0422973632812,0,0,0,3,0,0
8,4,1,2,0,730.98681640625,1,0,0,14,8,143.4500274658203,0,0,0,3,102,1
35,9,1,1,0,3343.003173828125,1,0,0,3,3,191.4956512451172,0,0,0,3,0,0
20,9,0,1,0,746.295654296875,0,1,0,29,7,242.80340576171875,32,0,0,3,100,0
26,1,1,1,1,493.96710205078125,0,0,0,9,8,32.21075439453125,1,0,0,3,103,0
29,7,1,1,0,1140.9951171875,0,0,0,7,6,1101.8101806640625,1,0,0,3,102,1
7,7,1,1,0,3205.518310546875,0,0,2,5,6,50.655792236328125,1,0,0,3,3,0
25,6,1,1,1,576.4476318359375,0,0,0,6,2,64.65980529785156,1,43,2,1,103,0
19,0,1,1,0,523.2091064453125,0,0,0,28,1,121.34011840820312,0,0,0,3,0,0
17,4,2,2,0,523.3407592773438,1,0,2,23,8,710.0574951171875,1,0,0,3,3,0
7,0,1,1,0,556.04150390625,1,0,0,6,8,30.01650047302246,3,245,4,0,101,0
50,4,1,1,0,3587.099365234375,0,0,0,24,1,335.40203857421875,0,0,0,3,102,1
33,4,1,0,0,852.6041259765625,0,0,0,25,0,471.173095703125,0,0,0,3,102,1
11,2,1,1,0,714.4390258789062,0,0,0,27,1,80.9974136352539,1,0,0,3,100,0
8,1,2,1,0,545.723876953125,0,0,0,12,8,207.90794372558594,0,0,0,3,3,0
12,0,1,1,0,1755.4368896484375,0,0,0,12,7,1091.075927734375,2,-1,0,3,102,1
17,4,2,3,0,477.2145080566406,0,0,0,27,5,556.231201171875,1,0,0,3,102,1
8,4,2,2,0,2060.206298828125,0,0,0,10,8,283.11468505859375,1,137,2,1,101,0
32,6,1,2,0,497.0149841308594,0,0,0,18,1,141.05044555664062,4,0,0,3,0,0
31,5,1,1,1,146.9415740966797,0,1,0,10,7,96.89419555664062,2,0,0,3,103,0
12,5,0,1,1,115.22624969482422,0,0,1,6,7,54.96900939941406,0,0,0,3,103,0
17,0,1,1,0,98.91924285888672,1,1,1,28,5,148.4992218017578,1,0,0,3,100,0
20,1,2,0,0,1408.4373779296875,1,0,1,16,8,647.5987548828125,1,0,0,3,3,0
6,7,1,1,0,1846.9234619140625,1,0,0,23,8,198.06134033203125,0,0,0,3,3,0
32,4,1,2,0,3278.671630859375,0,0,0,5,10,60.98723602294922,0,94,2,0,101,1
26,5,1,1,0,1194.899658203125,0,0,0,22,1,969.8592529296875,2,0,0,3,102,1
25,2,0,1,1,897.8605346679688,0,0,2,17,6,68.45342254638672,16,0,0,3,103,0
6,2,1,1,1,870.6051025390625,1,0,0,7,7,417.2935485839844,0,297,4,0,103,0
13,0,2,3,0,1111.0076904296875,1,0,2,23,8,212.57510375976562,2,0,0,3,100,0
35,9,1,0,0,806.5200805664062,0,0,0,12,1,81.56827545166016,0,0,0,3,0,0
18,4,2,2,0,3420.239501953125,0,0,0,27,6,278.2391052246094,0,0,0,3,102,1
60,9,1,1,0,1955.6270751953125,0,0,0,19,2,946.4644775390625,2,0,0,3,102,1
26,1,1,1,1,209.29718017578125,1,0,1,18,7,737.8803100585938,1,0,0,3,103,0
37,0,1,1,0,1970.0673828125,1,1,2,7,8,124.69459533691406,0,0,0,3,102,0
8,4,1,2,0,521.4688110351562,1,0,0,5,8,249.23751831054688,0,0,0,3,3,0
12,4,0,2,0,272.91229248046875,1,0,0,9,8,197.19418334960938,1,0,0,3,3,0
39,1,1,0,0,3173.291259765625,0,0,0,7,8,114.80715942382812,0,77,4,0,101,0
12,9,1,2,0,3393.438720703125,1,0,0,19,9,274.6608581542969,0,0,0,3,3,0
13,4,1,2,0,549.2981567382812,0,1,0,19,2,163.7149658203125,2,0,0,3,100,0
8,0,1,1,0,1248.8223876953125,1,0,1,8,6,875.931640625,2,0,0,3,102,1
12,3,0,1,0,207.36520385742188,1,1,0,6,7,128.54495239257812,0,0,5,2,100,0
27,0,1,1,0,958.2900390625,1,0,0,9,5,218.41175842285156,0,0,0,3,0,0
13,1,1,0,0,1247.8687744140625,1,0,0,11,8,505.4454345703125,0,0,0,3,102,1
18,4,1,2,0,3244.05078125,1,0,0,28,8,-16.865346908569336,10,0,0,3,100,0
35,9,1,1,0,1031.881103515625,1,0,0,7,5,138.08334350585938,0,137,3,0,101,0
36,4,1,2,0,525.1456298828125,0,0,0,22,1,247.4485626220703,2,0,0,3,0,0
11,4,1,1,0,404.2316589355469,0,1,2,30,6,61.770748138427734,11,0,0,3,100,0
22,4,2,2,0,2639.687255859375,0,1,0,5,8,453.4733581542969,0,0,0,3,3,0
37,4,1,1,0,1739.103759765625,0,0,0,1,5,161.32965087890625,1,0,0,3,0,0
18,1,1,1,0,303.13165283203125,1,0,0,11,8,68.36003112792969,0,288,4,0,101,0
15,1,1,1,0,1282.351318359375,1,0,0,12,5,764.4158325195312,0,0,0,3,102,1
18,9,2,2,0,2244.1865234375,0,0,0,27,5,226.66116333007812,0,0,0,3,102,1
12,9,2,1,0,1064.9710693359375,1,0,0,24,2,239.894775390625,0,0,0,3,102,1
51,0,1,1,0,858.2208251953125,0,0,1,25,7,463.98150634765625,0,0,0,3,102,1
13,0,1,1,0,744.4005737304688,1,0,2,27,8,187.61720275878906,5,0,0,3,100,0
34,5,2,1,0,730.0679931640625,1,0,0,8,8,220.7071990966797,0,146,4,0,101,0
11,9,1,2,0,2765.6630859375,1,0,2,4,8,104.08442687988281,12,0,0,3,100,0
51,0,0,1,0,223.61839294433594,1,1,0,5,9,236.3731689453125,0,0,0,3,3,0
