gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,cluster,Churn
0,0,1,1,61,0,1,0,2,0,2,2,1,0,2,0,0,437.4458312988281,2714.774169921875,103,0
0,1,0,0,33,1,2,0,0,0,1,0,1,0,1,0,1,803.2077026367188,652.6390380859375,102,0
0,1,0,0,36,1,2,1,0,0,2,0,2,2,0,1,2,1196.44091796875,643.9149169921875,102,0
0,1,0,0,27,1,0,1,0,0,1,0,0,0,0,0,1,842.6043090820312,2707.271240234375,102,0
0,0,1,0,14,0,1,0,0,0,0,0,0,0,0,1,2,124.43273162841797,2038.7781982421875,100,0
0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,141.2751922607422,6076.56689453125,100,0
1,0,0,0,65,1,2,1,1,2,1,1,1,1,0,0,1,1422.6883544921875,1421.041748046875,101,0
0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,2,478.2247009277344,669.5291137695312,2,0
0,0,0,0,34,1,0,2,1,1,1,1,1,1,0,1,0,19.46550750732422,3039.067626953125,1,0
0,1,0,0,16,0,1,1,0,0,0,2,0,0,0,0,2,805.854248046875,6544.22900390625,102,0
0,0,1,1,12,0,1,0,0,0,0,2,0,0,0,0,2,203.9579315185547,949.2855834960938,100,0
0,0,0,0,70,1,2,1,2,0,2,2,2,2,0,1,2,1592.780029296875,6227.62548828125,101,0
0,1,0,0,3,1,0,1,0,0,0,0,2,0,0,1,0,966.6749877929688,2351.491943359375,102,0
0,0,0,0,44,0,1,0,1,0,0,2,0,0,1,0,0,483.7189025878906,1928.0067138671875,103,0
0,1,0,0,64,1,2,1,1,2,1,1,2,1,0,1,1,1494.72900390625,938.6065673828125,101,0
0,0,0,0,57,0,1,0,1,0,2,2,2,0,2,0,0,352.09564208984375,4535.81689453125,103,0
0,1,0,0,67,1,2,1,0,2,2,1,2,2,1,1,1,1563.8212890625,4539.04052734375,101,0
0,1,0,0,29,1,0,0,0,1,0,1,2,0,0,0,2,384.80389404296875,3247.94580078125,101,0
1,0,1,0,26,1,2,1,1,2,1,2,2,2,0,0,2,1533.043212890625,6365.3642578125,3,0
1,0,0,0,66,1,2,1,2,2,2,2,2,2,2,1,1,1722.6510009765625,6824.462890625,3,0
0,0,0,0,17,1,0,0,0,2,0,2,0,0,0,1,2,843.6466064453125,2652.94482421875,2,0
0,1,0,0,58,1,2,1,1,2,1,2,2,2,0,1,1,1507.753662109375,3576.88134765625,101,0
0,1,0,0,35,1,1,1,0,0,0,0,1,0,0,0,2,855.8969116210938,861.4367065429688,102,0
0,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,2,1218.406982421875,6229.00390625,2,1
1,1,0,0,64,1,2,1,2,2,1,1,2,2,1,0,1,1660.3642578125,6343.68603515625,101,0
0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,823.1211547851562,1736.0782470703125,102,1
0,0,1,1,68,0,1,0,2,0,2,2,2,0,1,0,1,273.50616455078125,4478.63720703125,103,0
0,0,0,0,26,1,0,1,0,0,2,0,0,0,0,1,2,920.9779663085938,808.88720703125,2,0
0,0,1,1,13,1,0,0,0,0,0,0,0,0,0,1,2,175.13482666015625,94.21476745605469,2,0
0,0,1,0,72,0,1,0,1,1,1,0,2,2,1,1,1,378.2574157714844,4877.4501953125,103,0
0,0,0,0,51,1,2,1,1,2,1,1,2,2,0,1,1,1512.544677734375,4122.6826171875,3,0
1,0,0,0,14,1,2,1,0,2,0,0,0,0,0,1,2,1252.4039306640625,4131.4814453125,2,1
0,0,0,0,28,1,2,1,0,0,0,0,2,2,0,1,2,1388.766357421875,1618.364013671875,3,0
0,1,0,0,22,1,1,1,1,0,1,0,0,2,0,1,1,1172.9310302734375,2348.005126953125,102,0
0,0,0,0,48,0,1,0,1,1,1,2,0,0,0,1,0,338.4588317871094,3217.00537109375,103,0
1,1,0,0,24,1,2,1,0,2,0,0,2,2,0,1,1,1409.456787109375,4531.04345703125,102,0
0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,142.3980712890625,2107.1669921875,100,1
0,0,0,0,36,1,0,0,2,1,2,2,1,1,2,0,0,388.6668395996094,3444.89208984375,3,0
0,1,0,0,16,1,1,1,1,2,1,0,0,2,0,0,1,1131.9405517578125,3846.001708984375,101,0
0,0,0,0,41,1,0,1,0,0,0,0,0,0,0,1,1,897.6383666992188,762.9757690429688,2,0
0,1,0,0,25,1,0,1,2,0,0,0,0,0,0,1,2,420.8495788574219,447.61981201171875,2,0
0,0,1,1,75,1,2,0,2,2,2,2,2,2,2,1,0,1380.450439453125,3374.96240234375,3,0
0,0,0,0,40,1,0,2,1,1,1,1,1,1,0,0,0,24.435396194458008,4089.1181640625,1,0
0,1,0,0,71,1,2,1,0,2,2,2,2,2,1,0,1,1524.9854736328125,3930.359375,101,0
0,0,0,1,33,0,1,0,1,0,0,2,0,0,0,1,2,324.44171142578125,3721.3916015625,100,0
0,0,0,0,71,0,1,0,1,2,1,2,2,0,1,1,1,727.2719116210938,4247.38671875,103,0
1,1,0,0,27,1,2,1,0,0,0,0,2,2,0,1,2,1396.2056884765625,6069.462890625,102,1
1,0,1,1,21,1,0,0,2,2,0,2,0,0,0,0,0,762.8870849609375,3074.95703125,2,0
1,0,0,0,27,1,2,1,2,2,0,0,2,2,0,0,2,1366.0474853515625,6443.44384765625,2,1
0,1,0,0,65,1,2,1,2,2,0,2,2,2,0,0,0,1544.2374267578125,4522.09130859375,101,0
0,0,0,0,20,1,0,1,1,2,0,0,0,2,0,1,3,1010.2349243164062,1848.2752685546875,2,1
1,0,0,0,16,1,0,1,0,0,2,0,0,0,0,1,3,883.7244262695312,308.9483337402344,2,0
0,1,0,0,69,1,2,0,0,2,2,0,1,2,1,1,1,979.6923828125,4059.24560546875,101,0
0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,1,2,130.71995544433594,1290.26171875,100,1
0,0,0,0,45,0,1,0,2,0,0,0,0,0,1,0,0,355.1183166503906,1261.8292236328125,103,0
1,0,0,1,14,1,0,1,0,0,0,0,0,0,0,1,2,499.9970703125,5456.486328125,2,1
0,1,0,0,21,1,0,0,1,1,0,0,1,0,0,0,2,389.89398193359375,3727.17333984375,102,0
0,0,1,0,68,1,2,1,2,2,2,2,2,2,0,1,2,1501.4307861328125,5738.359375,3,0
0,0,0,0,42,1,1,0,2,0,0,2,0,2,1,1,0,815.7506103515625,2291.657470703125,2,0
0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,1,1,190.65135192871094,2520.49072265625,1,0
0,0,1,0,16,1,0,0,2,0,0,0,0,0,0,0,0,437.9364013671875,5788.3779296875,2,0
0,0,1,0,27,1,0,0,2,0,0,2,0,2,1,1,1,811.3538818359375,3721.523193359375,101,0
0,1,0,0,17,1,0,1,0,0,0,0,2,2,0,1,2,1138.7249755859375,3697.96484375,102,1
0,0,0,0,38,1,0,0,2,2,0,2,2,0,0,0,0,782.1034545898438,3481.099853515625,3,0
0,0,0,0,40,0,1,0,1,0,0,0,1,0,1,0,2,293.8641357421875,2341.82958984375,100,0
0,1,0,0,34,1,0,1,0,0,0,0,2,0,0,1,1,962.7389526367188,1346.83154296875,102,0
0,1,0,0,65,1,2,2,1,1,1,1,1,1,2,0,0,87.76235961914062,1205.740478515625,101,0
0,1,0,0,27,1,0,1,0,0,1,0,2,0,0,0,2,1244.489501953125,1730.240966796875,102,0
0,1,0,0,31,1,0,1,0,0,0,0,2,2,0,1,2,1289.261474609375,632.027099609375,2,0
0,1,0,0,19,1,0,2,1,1,1,1,0,0,0,0,2,690.4659423828125,1808.3482666015625,102,0
0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,1,2,126.54981994628906,2291.55810546875,100,0
0,1,0,0,26,1,1,1,1,1,0,0,2,2,1,0,0,1441.0882568359375,2347.7978515625,101,0
0,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,0,968.70068359375,5556.8515625,3,0
0,0,0,0,33,1,0,1,0,1,0,0,0,0,0,1,2,1116.9578857421875,4148.39892578125,1,0
0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,96.98111724853516,4354.34423828125,100,0
0,0,0,0,47,0,1,0,1,0,0,2,0,0,1,0,0,241.31076049804688,3285.062744140625,103,0
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,729.0798950195312,5932.72998046875,102,1
0,0,1,1,27,0,1,0,0,0,0,2,2,0,0,0,2,317.8665466308594,2458.48779296875,100,0
0,1,1,1,12,1,0,1,1,2,0,2,2,2,0,1,2,1060.587158203125,2546.88525390625,3,0
1,1,0,0,26,1,2,1,0,0,1,0,2,0,0,1,2,1125.16650390625,2937.71533203125,102,1
0,0,0,0,61,0,1,0,2,0,1,2,2,1,1,1,0,565.5362548828125,2658.51318359375,103,0
0,0,1,1,45,0,1,0,2,0,0,2,0,0,1,0,1,251.00289916992188,2298.02099609375,103,0
0,0,1,0,62,1,0,1,2,2,1,2,0,2,0,0,0,1187.3570556640625,5599.73876953125,3,0
0,1,1,0,67,1,2,1,2,2,1,1,2,2,1,0,1,1556.9150390625,6263.658203125,101,0
0,0,0,0,47,0,1,0,2,0,0,2,0,0,1,0,0,228.50894165039062,1776.2772216796875,103,1
1,1,0,0,18,1,2,1,0,0,1,0,0,0,0,0,2,1050.82275390625,421.8279113769531,102,1
0,1,0,0,57,1,2,1,0,0,0,0,2,2,0,1,1,1382.547607421875,3532.471435546875,102,0
0,1,0,0,11,1,2,1,0,0,2,0,2,2,0,1,2,1324.6326904296875,4530.05712890625,101,0
1,0,1,1,19,1,0,0,0,2,2,2,2,2,2,1,2,864.2279663085938,3586.01123046875,3,0
0,0,1,1,37,0,0,0,2,2,0,2,2,0,0,1,0,510.0106506347656,3213.393798828125,100,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,43.100059509277344,3643.892578125,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,195.60240173339844,6030.87353515625,100,1
0,0,0,0,51,0,1,2,1,1,1,1,1,1,1,0,2,72.81132507324219,2573.784912109375,1,0
0,0,1,0,73,1,2,2,1,1,1,1,1,1,2,0,1,76.14537048339844,1024.4073486328125,1,0
0,0,1,1,59,0,1,0,2,0,0,2,1,0,1,0,1,121.1451187133789,3002.30078125,103,0
0,0,0,0,23,1,0,0,1,2,0,2,0,1,0,1,1,434.7847900390625,1970.1138916015625,1,0
0,0,1,1,28,0,1,0,0,0,2,0,0,0,2,0,0,204.73358154296875,3606.637451171875,1,0
0,1,0,0,19,1,0,1,0,0,0,0,0,0,0,0,2,1008.1188354492188,5694.0458984375,102,0
0,0,1,1,46,1,0,0,2,0,0,2,0,0,1,0,0,952.3538818359375,2583.3134765625,3,0
0,0,1,1,10,0,1,0,0,0,0,0,2,0,0,0,2,264.0110168457031,1281.2042236328125,100,0
0,1,0,0,67,1,0,1,1,1,1,1,0,0,0,0,1,1031.4615478515625,2968.691650390625,101,0
0,0,1,1,42,0,1,0,2,0,0,2,0,0,1,0,0,286.34967041015625,4250.69677734375,103,0
0,1,0,0,51,1,0,1,1,1,1,2,0,0,0,0,1,835.004150390625,3994.99609375,102,0
0,0,1,1,70,1,2,1,0,1,2,0,2,1,0,1,2,1410.5377197265625,3295.224853515625,101,0
0,0,1,0,35,0,1,0,1,0,0,2,0,0,1,0,2,259.7843322753906,3122.552978515625,103,0
1,0,0,0,38,1,2,1,1,2,2,1,2,2,0,1,2,1428.886474609375,4057.84326171875,3,0
0,0,1,1,41,0,1,0,1,0,0,2,0,0,1,0,0,248.73316955566406,2933.06982421875,103,0
0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,1,2,906.0316162109375,3133.97021484375,102,0
0,0,0,0,13,1,0,0,2,0,0,2,0,0,0,0,3,398.49981689453125,554.1666870117188,2,0
0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,2,542.1731567382812,3115.64013671875,100,1
0,1,1,0,69,1,0,1,1,2,2,2,2,2,1,1,0,1479.1668701171875,6297.3583984375,101,0
0,1,1,0,60,1,0,1,0,2,1,1,1,2,0,0,0,1359.4388427734375,2965.291015625,101,0
1,0,0,0,63,1,2,1,1,2,0,1,2,2,0,1,2,1455.6824951171875,3550.81103515625,3,0
0,0,1,1,50,0,1,0,0,2,0,2,2,0,0,1,2,238.4702606201172,3009.507568359375,3,0
0,1,0,0,66,0,1,0,1,2,2,2,2,0,0,1,2,328.8148498535156,4493.82177734375,101,0
0,1,0,0,40,1,2,1,0,0,1,0,0,0,0,1,2,1108.65673828125,1053.1104736328125,102,1
1,0,1,0,4,1,2,1,0,0,0,0,0,0,0,1,2,678.9169921875,713.1283569335938,2,0
0,0,0,0,60,1,2,1,1,2,1,0,2,2,0,1,0,1492.4283447265625,4294.66845703125,101,0
1,0,0,0,50,0,1,0,1,1,0,0,2,1,1,1,0,378.76568603515625,2762.6572265625,103,0
0,1,1,0,69,1,2,1,2,2,2,1,2,1,2,1,1,1576.6800537109375,6548.7099609375,101,0
0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,87.18994903564453,1726.8299560546875,100,0
0,0,1,1,73,1,2,2,1,1,1,1,1,1,2,0,1,878.089111328125,832.2659301757812,1,0
1,0,0,0,70,1,0,2,1,1,1,1,1,1,2,0,3,50.762367248535156,878.3201904296875,1,0
0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,1107.789794921875,4139.59033203125,102,0
1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,151.4433135986328,2645.545166015625,100,1
0,0,1,1,13,1,0,2,1,1,1,1,1,1,0,0,3,12.100890159606934,6229.32177734375,1,0
1,0,0,0,13,1,0,0,2,0,0,0,0,0,0,0,3,471.6729431152344,3682.4990234375,2,0
0,1,1,0,20,1,0,1,0,2,0,2,2,2,0,1,1,1479.1209716796875,4176.12353515625,101,0
0,1,0,1,20,1,0,0,0,2,1,0,2,2,0,1,0,961.6948852539062,3382.029541015625,3,0
0,0,1,0,58,1,0,1,2,2,2,2,2,2,0,1,0,1394.04150390625,3167.546630859375,3,0
0,0,0,1,50,0,1,0,1,1,1,0,0,0,0,0,1,199.8373260498047,2055.131103515625,100,0
0,0,1,0,38,1,0,2,1,1,1,1,1,1,2,0,1,33.32915496826172,1013.9824829101562,1,0
1,1,0,0,21,1,2,1,0,2,0,0,0,2,0,1,2,1129.6629638671875,5784.30126953125,102,1
0,0,0,0,53,0,1,0,1,1,1,2,0,0,1,1,0,348.2879638671875,2389.0673828125,103,0
1,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,1,38.705909729003906,1256.5794677734375,1,0
0,0,1,1,41,1,0,2,1,1,1,1,1,1,2,0,1,27.020483016967773,1089.5557861328125,1,0
0,1,0,0,28,1,0,1,0,0,0,0,2,2,0,1,2,1282.754150390625,2450.89404296875,102,0
0,0,0,0,31,1,0,0,2,0,2,0,0,0,0,1,3,615.9630126953125,793.8041381835938,2,0
0,0,1,0,14,1,0,1,0,0,0,2,2,2,0,0,2,1238.357421875,6595.4404296875,102,0
0,1,0,0,61,1,0,0,1,0,2,0,0,2,0,1,2,833.2351684570312,3436.71044921875,102,0
0,0,0,0,37,1,0,1,2,2,0,2,0,0,0,0,0,1000.5555419921875,6308.33203125,2,0
0,0,0,0,46,0,1,0,1,1,1,2,0,0,2,0,1,354.41107177734375,4182.3505859375,1,0
0,0,1,0,70,1,0,0,2,1,1,1,0,0,1,0,1,754.3818969726562,6666.76904296875,1,0
0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,1,1,120.37149047851562,2510.421630859375,100,1
0,0,0,0,65,1,0,1,2,2,2,2,2,0,2,0,1,1381.7012939453125,4866.70947265625,3,0
1,0,0,0,11,1,0,1,2,2,2,2,2,2,0,1,1,1416.9700927734375,5827.98876953125,101,1
0,1,1,0,70,1,2,1,1,2,1,0,2,0,0,1,1,1417.760986328125,3621.821044921875,101,0
1,1,0,0,23,1,2,1,0,2,0,0,2,1,0,1,2,1458.6591796875,4734.10107421875,101,0
0,1,1,0,65,1,2,1,2,2,2,1,2,2,1,1,2,1588.474365234375,6173.00390625,101,0
0,1,1,0,67,1,2,1,1,1,1,1,0,1,2,0,1,1322.187255859375,6130.00830078125,101,0
0,0,1,0,30,1,0,0,2,0,2,2,0,0,1,0,0,371.28936767578125,4258.00732421875,3,0
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,462.91278076171875,5989.69677734375,2,1
1,1,0,0,58,1,2,1,0,2,0,1,2,2,0,1,0,1358.5469970703125,4313.287109375,101,0
0,1,1,0,34,1,2,1,0,0,1,0,2,2,0,1,2,1386.3408203125,5432.52294921875,101,0
1,0,0,0,73,1,0,2,1,1,1,1,1,1,2,0,3,49.00412368774414,507.2392883300781,1,0
0,0,0,0,42,1,0,0,0,1,1,2,2,2,1,1,0,1023.2255859375,3546.1103515625,3,0
0,1,0,0,20,1,2,1,0,0,0,0,0,2,0,1,2,1127.0970458984375,5311.8935546875,102,1
0,0,0,0,45,1,2,1,0,2,0,0,2,0,0,1,2,1064.7315673828125,4093.92919921875,102,0
0,0,0,1,66,1,2,1,2,2,0,0,2,2,0,0,1,1458.335693359375,6689.60205078125,3,0
0,0,1,1,74,0,1,0,2,2,2,2,1,2,2,1,2,806.7632446289062,5755.36279296875,103,0
0,0,0,0,30,1,0,1,0,1,0,0,0,0,0,0,2,836.8616943359375,3560.136962890625,102,1
0,1,0,0,40,1,0,1,0,0,0,0,2,0,0,1,2,919.3341674804688,2682.918701171875,102,0
0,0,1,1,25,1,0,1,2,0,1,0,2,0,1,0,0,1040.0035400390625,3155.176513671875,3,0
1,0,1,1,62,0,1,0,1,0,2,2,2,0,2,0,0,426.7485046386719,2439.437255859375,103,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,39.742523193359375,508.1894226074219,1,0
1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,1065.357421875,2415.9365234375,2,1
0,0,1,1,65,1,2,1,2,0,2,2,2,2,1,0,1,1519.04931640625,5932.412109375,3,0
0,0,1,1,27,0,1,0,1,0,0,0,0,0,1,0,3,238.59967041015625,1050.830322265625,1,0
0,0,0,0,13,0,1,0,0,1,0,0,1,0,0,1,1,125.4449462890625,2704.34375,100,1
0,0,0,0,46,1,0,0,1,2,0,2,2,2,1,1,2,973.9899291992188,3656.39599609375,3,0
0,0,0,0,47,0,1,0,2,0,0,0,0,0,0,0,0,186.4564666748047,3496.2626953125,100,0
0,0,0,1,69,1,2,1,0,0,2,0,2,2,1,0,0,1494.8629150390625,5617.60595703125,3,0
0,1,1,0,68,1,2,1,1,2,2,2,2,2,0,1,0,1544.745361328125,5851.59521484375,101,0
0,0,1,1,40,1,0,1,2,0,2,2,2,2,1,0,2,1349.842529296875,1055.469482421875,3,0
0,0,0,0,32,1,0,0,1,0,0,2,2,2,1,0,1,571.3848876953125,3330.14794921875,3,0
1,0,0,0,14,1,0,1,2,0,0,0,0,0,0,0,0,915.9950561523438,930.0631713867188,2,0
0,0,1,1,71,0,1,0,2,0,2,2,1,0,2,0,0,648.1609497070312,3062.780029296875,103,0
0,0,0,0,69,1,2,1,2,2,2,0,2,2,0,1,1,1076.3497314453125,6383.796875,3,0
0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,1,198.8203125,4016.76123046875,100,0
0,0,1,0,69,1,2,1,2,0,2,2,2,2,2,0,0,1540.2452392578125,6645.216796875,3,0
0,1,0,0,4,1,0,1,0,0,0,2,2,2,0,1,2,902.522705078125,4523.505859375,102,0
1,0,0,0,22,1,0,1,2,2,1,0,0,2,0,1,2,1046.580078125,3866.372314453125,2,0
0,1,0,0,16,1,0,0,0,0,1,0,0,0,0,1,1,388.1817932128906,3927.06982421875,102,0
0,0,1,1,72,1,0,2,1,1,1,1,1,1,0,0,0,36.13330078125,528.8447265625,1,0
0,0,0,0,55,1,2,1,1,2,1,0,2,2,0,1,1,1499.7655029296875,3345.3896484375,2,0
0,0,1,1,57,0,1,0,1,0,0,0,0,0,1,1,2,209.39456176757812,3243.96142578125,103,0
1,0,0,0,46,1,2,1,0,0,0,0,0,0,0,0,2,725.6868286132812,2602.346923828125,2,0
0,0,0,0,43,0,1,0,1,0,1,0,0,0,2,1,1,282.052490234375,3218.3271484375,103,0
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,1,3,41.41347122192383,2348.4111328125,1,0
0,0,1,0,54,1,0,2,1,2,2,2,1,1,1,1,2,44.453392028808594,3950.562744140625,1,0
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,350.42572021484375,2291.345947265625,2,0
0,0,0,1,72,1,0,2,1,1,1,1,1,1,2,0,0,45.44440460205078,1092.560302734375,1,0
1,0,1,1,70,1,2,0,2,0,2,2,0,2,2,1,0,889.8238525390625,5122.3828125,3,0
1,0,0,0,43,1,0,0,2,0,0,1,2,0,0,0,1,325.60491943359375,2712.74267578125,101,0
0,1,0,0,51,1,1,0,1,1,0,2,0,0,1,0,0,217.82762145996094,4442.0244140625,100,0
0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,2,147.69915771484375,5203.43017578125,100,0
1,1,1,0,42,1,2,1,1,2,1,0,2,2,0,0,2,1245.13818359375,1442.2120361328125,101,0
0,0,0,0,19,1,0,1,1,2,0,2,0,0,0,1,0,544.1934814453125,3074.63232421875,2,0
1,0,1,1,75,0,1,0,0,1,2,2,2,2,2,0,0,673.9793090820312,4470.314453125,103,0
0,0,0,0,20,1,2,1,0,0,0,0,2,0,0,0,2,1115.749755859375,6526.3017578125,2,0
1,0,0,0,61,1,0,0,2,0,0,2,0,0,1,1,3,437.1305236816406,1140.4248046875,2,0
0,0,1,1,35,0,1,0,2,0,0,2,2,2,2,0,0,1154.0472412109375,3642.553466796875,103,0
0,0,1,1,11,1,0,1,1,2,0,2,2,2,1,0,0,1400.8544921875,3991.205810546875,3,0
0,0,1,0,66,1,2,1,2,0,0,1,2,0,2,0,1,1244.446533203125,5433.47265625,3,0
0,0,1,0,56,0,1,0,1,0,0,0,0,0,2,0,0,222.09938049316406,3391.005615234375,103,0
0,0,0,0,53,0,1,0,1,1,1,0,2,2,1,1,1,240.13584899902344,3122.054443359375,103,0
0,1,0,0,66,1,2,1,1,0,1,2,2,2,0,0,1,1510.720703125,5646.72265625,101,0
0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,1,1,691.467529296875,5041.50927734375,102,0
1,0,0,0,24,0,1,0,1,0,0,2,0,0,1,0,0,277.049560546875,1932.120361328125,100,0
0,0,1,1,22,1,0,0,2,0,0,2,0,0,2,0,0,540.2921752929688,4003.4765625,1,0
0,0,0,0,39,0,1,0,1,0,0,2,0,0,0,1,2,239.8909454345703,3343.5166015625,100,0
0,1,0,0,23,1,1,1,1,0,1,0,0,2,0,0,1,1152.0142822265625,3458.696533203125,101,0
0,0,0,0,16,1,0,0,2,0,0,0,0,0,0,1,3,864.4423828125,2788.64208984375,2,0
0,0,0,0,15,0,1,0,1,0,0,0,0,0,0,1,2,256.5932922363281,1470.8778076171875,100,0
1,0,1,1,47,0,1,0,2,0,0,2,0,0,1,0,0,259.4202880859375,1659.5299072265625,103,0
1,1,1,0,26,1,2,1,1,2,1,1,2,2,0,0,2,1457.8526611328125,5992.55078125,101,0
0,1,0,0,13,1,1,1,0,2,1,0,2,2,0,1,0,1373.667724609375,6371.140625,101,0
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,2,84.27131652832031,252.27134704589844,100,0
0,0,1,0,69,1,2,1,0,0,2,2,2,2,1,0,2,1529.0731201171875,5914.3388671875,101,0
0,0,1,1,68,0,1,0,1,0,2,2,2,2,1,1,1,406.9875183105469,3935.245849609375,103,0
0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,95.40178680419922,2489.0205078125,100,1
0,1,0,1,65,1,2,1,0,2,1,0,2,2,1,0,2,1384.6251220703125,6366.4453125,101,0
0,1,1,0,65,1,2,1,1,2,1,1,2,2,0,0,0,1595.62158203125,6417.8408203125,101,0
