AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,cluster,OUTCOME
2,1,0,2,0,2,6952.95703125,0,1,1,1,0,5,0,2,0,3,3,0
3,0,0,3,2,2,8552.7958984375,0,0,1,1,0,11,0,2,0,0,1,0
1,1,0,1,0,1,1838.32275390625,0,1,0,0,2,8,0,2,0,1,2,0
1,0,0,0,0,0,9156.693359375,1,0,1,0,0,5,1,1,0,1,103,0
1,0,0,0,0,0,8650.54296875,1,0,1,0,0,16,0,0,0,0,2,0
3,1,0,3,0,2,5794.224609375,1,1,1,1,0,8,0,5,1,2,100,0
0,1,0,0,1,1,591.5493774414062,0,1,0,0,0,17,0,0,0,0,2,1
0,1,0,0,1,2,9144.87890625,1,1,0,0,0,12,0,0,0,0,2,1
0,1,0,0,0,1,586.2876586914062,0,1,0,0,0,16,1,0,0,0,103,1
2,0,0,2,1,2,8690.3076171875,1,0,0,1,1,8,0,2,0,2,3,0
1,1,0,1,0,1,4357.09619140625,1,1,0,1,0,10,0,0,0,0,1,0
1,0,0,1,1,1,3315.75146484375,0,1,1,1,0,8,0,0,0,0,1,0
0,1,0,0,0,1,411.6521911621094,1,1,0,0,0,16,0,0,0,0,2,1
2,0,0,2,0,0,3499.302734375,1,1,0,1,1,8,0,2,0,1,1,1
1,1,0,1,0,0,6625.04541015625,1,0,0,0,0,10,1,2,0,2,103,0
1,1,0,1,0,3,1145.275634765625,1,1,1,0,0,10,0,3,0,2,103,0
0,1,0,0,0,0,5369.44482421875,0,1,0,1,2,16,0,0,0,0,2,1
1,1,0,1,0,1,146.5933837890625,0,0,1,1,2,8,0,1,2,1,100,0
2,1,0,2,0,2,8256.7177734375,1,1,1,1,0,12,0,2,0,2,3,0
1,0,0,1,0,3,3159.93212890625,0,1,0,1,0,8,0,2,0,2,1,0
1,0,0,1,1,0,6980.1572265625,0,0,0,0,1,9,1,2,0,0,103,1
2,1,0,2,0,0,9014.294921875,1,1,1,1,0,8,0,5,0,4,3,0
2,0,0,2,0,2,3970.69482421875,0,1,0,1,1,6,0,2,0,3,3,0
3,1,0,3,2,0,5954.60400390625,1,1,1,1,2,7,0,2,1,0,100,0
0,0,0,0,0,0,7471.8544921875,1,1,1,0,1,6,1,0,0,0,103,1
2,0,0,0,0,0,7751.400390625,0,1,1,0,0,8,0,0,2,0,2,1
3,1,0,1,0,2,9231.3447265625,1,1,1,1,3,8,0,2,0,1,1,0
3,0,0,3,0,0,9085.37890625,1,1,1,1,0,5,0,1,0,7,100,0
0,0,0,1,1,2,6700.01611328125,1,0,1,1,0,10,1,1,0,1,103,0
1,1,0,0,0,0,6727.78369140625,1,1,0,1,0,8,0,0,0,0,1,0
2,1,0,0,0,1,5297.63134765625,1,0,1,1,0,8,1,0,0,0,103,0
0,1,0,0,0,1,1187.2850341796875,1,1,0,0,0,11,1,0,0,0,103,0
0,1,0,0,0,1,620.3881225585938,1,1,0,0,2,12,0,0,0,0,2,1
2,0,0,2,2,2,7524.134765625,0,0,1,0,1,8,0,2,0,0,1,0
0,0,0,0,0,0,595.0592651367188,0,1,0,0,1,16,1,0,0,0,103,1
0,0,0,0,0,1,476.5781555175781,0,1,0,1,0,8,0,0,0,0,2,1
2,1,0,2,2,2,6636.287109375,1,1,1,1,1,4,0,4,0,3,3,0
1,0,0,1,2,2,9223.14453125,0,1,1,0,0,21,0,1,0,1,101,0
1,0,0,0,0,1,9219.8056640625,1,1,0,0,0,15,0,0,0,0,101,0
2,0,0,2,2,2,8919.5205078125,1,1,1,1,0,6,0,4,0,4,3,0
3,1,0,1,0,2,6127.74267578125,1,1,0,1,0,8,0,2,0,1,3,0
3,1,0,2,0,2,7824.22607421875,1,1,1,1,0,11,0,0,0,4,1,0
3,0,0,3,2,2,8561.7177734375,0,0,1,1,0,5,0,5,0,3,3,0
1,0,0,1,2,0,6291.23974609375,0,0,0,1,2,12,0,2,0,0,1,0
1,0,0,0,0,0,9236.3212890625,1,1,0,0,0,13,0,0,0,0,2,0
3,0,0,0,0,2,7913.78076171875,0,1,1,1,0,21,0,2,0,1,101,0
1,0,0,2,2,0,6684.025390625,0,0,1,1,0,9,0,2,0,0,1,0
0,1,0,0,0,0,1029.496337890625,0,1,0,0,0,16,1,0,0,0,103,0
0,0,0,0,2,2,6537.08740234375,1,1,0,0,0,21,0,0,0,0,101,0
1,0,0,1,0,1,9318.498046875,1,1,0,0,2,13,0,3,0,1,101,0
1,1,0,0,0,0,936.22265625,0,0,1,1,2,8,0,0,0,2,1,0
2,1,0,2,0,0,7874.453125,1,0,1,1,0,8,0,5,1,7,100,0
2,1,0,1,0,1,2904.493408203125,1,0,1,1,2,8,0,1,1,1,100,0
3,1,0,1,1,2,6990.39111328125,1,0,1,1,0,8,0,1,0,3,1,0
1,1,0,0,0,0,5440.86669921875,0,1,0,0,0,8,0,0,0,0,2,0
0,0,0,0,0,0,5088.67919921875,0,1,1,0,1,5,0,0,0,0,2,1
3,0,0,3,2,2,7739.74560546875,1,0,1,1,0,8,0,1,1,7,100,0
2,0,0,1,1,2,7947.9375,1,0,1,1,0,8,1,2,0,1,103,0
1,1,0,1,1,0,3358.15771484375,1,0,0,0,0,12,1,1,0,1,103,0
2,0,0,0,0,2,9026.0615234375,1,1,1,1,0,9,0,0,0,0,1,1
3,1,0,3,0,2,7449.79345703125,1,0,1,1,0,11,0,2,0,3,3,0
0,1,0,0,0,2,7173.73095703125,1,1,0,0,0,16,1,0,0,0,103,1
3,0,0,0,2,2,8674.83984375,1,0,1,1,2,5,0,2,0,0,1,0
1,0,0,0,0,0,4676.53564453125,1,1,0,1,0,12,0,0,0,0,1,0
0,1,0,0,0,1,2978.1328125,1,1,0,0,0,12,0,0,0,0,2,0
2,1,0,2,2,2,3929.54150390625,1,0,1,1,0,7,0,2,0,3,3,0
2,0,0,2,0,2,8666.470703125,1,0,1,1,0,5,0,2,0,4,3,0
1,0,0,1,0,1,1053.6400146484375,1,1,1,1,0,8,0,1,0,1,1,0
1,1,0,0,0,0,2638.953125,1,0,0,1,2,21,0,0,0,0,101,0
2,1,0,1,2,2,8231.4677734375,0,0,0,0,2,21,0,2,0,0,101,0
1,0,0,1,0,0,8123.03466796875,0,1,0,1,2,13,0,2,0,2,1,0
0,0,0,0,0,0,2306.126220703125,0,1,0,1,2,6,0,0,0,0,2,1
2,1,0,2,2,2,8384.6806640625,1,0,1,1,1,8,0,2,0,3,3,0
2,0,0,2,0,0,6944.62841796875,1,1,1,1,2,8,0,0,2,0,1,0
0,1,0,0,0,0,1528.2623291015625,0,0,0,0,0,21,0,1,0,4,101,0
3,0,0,3,2,2,9090.5244140625,1,1,1,1,2,8,0,2,0,7,100,0
0,0,1,0,0,0,4131.21533203125,0,0,0,1,0,12,0,0,0,0,102,0
3,0,0,0,0,2,7413.837890625,1,1,1,1,0,8,1,0,0,0,103,0
1,0,0,0,0,0,8004.3857421875,0,1,0,1,2,10,0,0,0,0,2,0
2,1,0,2,0,2,6368.5908203125,1,0,1,1,0,11,0,2,0,5,3,0
0,1,0,0,0,1,1801.792724609375,1,1,0,0,0,12,0,0,0,0,2,1
2,0,0,0,0,1,4606.54638671875,1,0,0,1,1,8,0,0,0,0,1,0
3,1,0,3,2,2,8862.2138671875,1,0,1,1,0,9,0,2,5,6,100,0
3,1,0,3,0,2,6126.60009765625,1,1,1,1,0,11,0,2,0,4,3,0
0,0,0,0,0,1,562.068603515625,0,1,0,0,0,16,1,0,0,0,103,0
1,1,0,1,0,1,832.3111572265625,1,1,0,1,0,8,0,1,0,0,2,1
3,1,0,1,0,1,4912.30224609375,0,0,1,1,0,8,0,2,0,2,3,0
2,1,0,2,2,0,8441.783203125,1,0,1,0,0,16,0,1,0,1,1,0
3,1,0,3,0,2,8762.9677734375,0,0,1,1,0,5,0,7,3,3,100,0
2,0,0,1,1,2,9211.9189453125,0,0,0,0,1,10,1,2,0,1,103,0
2,0,0,1,2,2,8872.9150390625,1,0,1,1,0,11,0,2,0,0,1,0
3,0,0,0,0,2,9254.564453125,1,0,1,1,2,8,0,0,2,2,1,1
1,0,0,1,0,0,9185.79296875,1,1,0,1,0,13,0,3,1,1,101,0
1,0,0,0,0,1,8761.185546875,0,1,1,0,2,21,0,0,0,0,101,0
0,0,0,0,0,2,9057.712890625,0,1,0,0,2,21,0,0,0,0,101,1
0,0,0,0,0,1,779.7145385742188,0,1,0,1,1,8,0,0,0,0,2,1
2,0,0,1,0,0,6866.53564453125,1,1,1,0,0,21,0,2,2,4,101,0
1,1,0,1,0,2,4975.56640625,1,1,0,1,0,8,0,2,0,4,1,0
0,0,0,0,0,2,4329.39697265625,1,1,0,0,2,21,0,0,0,0,101,1
1,1,0,0,0,3,1326.7393798828125,0,1,1,0,2,8,1,0,0,1,103,1
0,0,0,0,0,1,9279.826171875,0,1,0,0,0,17,0,0,0,0,2,1
3,0,0,3,0,2,7940.00390625,1,0,1,1,0,7,0,2,1,3,100,0
2,0,0,2,0,0,3943.84912109375,0,1,0,1,1,6,0,0,0,0,2,0
1,0,0,1,1,1,9313.15234375,1,0,0,0,0,17,1,0,0,1,103,0
2,1,0,2,0,1,3154.584716796875,0,0,1,0,0,8,0,2,0,2,3,0
1,1,0,0,0,0,5256.94677734375,1,1,0,1,0,8,0,2,0,2,2,1
3,0,0,0,0,2,9211.6416015625,0,0,1,1,0,8,0,0,0,0,1,1
0,0,0,0,1,1,3598.140625,1,0,0,0,1,10,0,0,0,0,1,0
0,1,0,0,0,0,2461.158935546875,1,1,1,1,0,5,0,0,0,0,2,1
2,0,0,2,2,2,3287.799560546875,1,1,1,1,0,8,0,2,0,1,3,0
1,1,0,1,0,0,2114.354248046875,0,1,1,1,0,14,0,2,1,2,100,0
2,1,0,1,2,2,8098.63720703125,1,1,0,1,0,11,0,2,0,1,1,0
1,0,0,0,0,0,9195.9423828125,1,1,1,0,3,7,0,0,0,0,2,1
0,1,0,1,0,1,9201.8125,1,0,0,1,0,15,1,2,0,1,103,0
0,0,0,0,0,0,9270.4716796875,1,1,0,1,2,10,0,0,0,0,1,1
2,0,0,2,2,2,8232.2744140625,1,0,0,1,0,11,0,2,0,1,3,0
1,0,0,1,0,0,8764.76953125,1,0,1,1,0,8,0,1,0,1,1,0
1,1,0,1,0,0,2991.52880859375,0,1,0,0,0,11,1,3,0,1,103,0
0,0,0,0,0,1,9162.7119140625,0,1,0,0,0,14,0,0,0,0,2,1
2,0,0,1,0,2,9097.125,1,0,1,1,0,11,0,0,0,2,1,0
1,0,0,1,0,2,6975.52685546875,0,1,0,0,2,21,0,0,0,0,101,0
0,1,0,0,0,1,9471.451171875,1,0,0,1,0,11,0,0,0,0,1,1
2,0,0,1,0,0,7266.69775390625,0,1,0,1,0,8,0,2,0,0,1,0
1,1,0,0,2,2,6475.4560546875,0,0,1,1,2,8,0,0,0,0,2,1
0,0,0,0,0,0,5174.55859375,1,1,0,0,0,13,0,0,0,0,2,0
2,0,0,0,0,2,3437.31201171875,1,0,0,1,0,21,0,0,0,0,101,0
1,1,0,1,0,2,9221.2265625,1,0,1,1,0,11,1,1,0,1,103,0
2,0,0,0,0,0,9031.671875,0,0,1,0,0,6,0,0,0,0,2,1
1,1,0,1,0,0,8068.2392578125,1,1,0,0,0,12,0,1,2,0,100,0
2,1,0,2,0,2,6668.52001953125,1,1,0,1,0,11,0,2,0,3,3,0
1,0,0,0,2,2,8824.9140625,1,0,0,0,1,12,0,0,0,0,1,0
0,0,0,0,0,1,9319.3955078125,1,0,0,0,0,15,1,0,0,0,103,0
2,1,0,2,0,2,8828.162109375,1,0,1,1,0,11,0,1,0,2,3,0
1,0,0,1,0,1,3594.089111328125,1,1,0,1,0,8,0,0,0,1,1,0
3,1,0,3,2,2,8388.9833984375,1,1,1,1,2,5,0,11,0,7,100,0
2,1,0,1,2,2,7163.5771484375,1,1,1,1,2,9,0,2,1,3,100,0
1,0,0,1,0,2,8971.8515625,0,1,0,1,2,8,0,0,0,0,101,1
1,0,0,1,0,1,4111.16796875,0,1,1,1,1,8,0,2,0,1,3,0
0,0,0,0,1,2,6763.02685546875,1,0,0,0,0,17,1,0,0,0,103,0
2,0,0,0,0,2,6549.64599609375,0,0,1,1,1,8,0,0,0,0,2,1
1,1,0,1,0,1,5318.69140625,1,1,0,1,0,8,0,1,0,1,3,0
0,1,0,0,0,1,896.4973754882812,1,1,0,0,0,13,0,0,0,0,2,1
0,0,0,1,0,2,8010.75390625,1,0,1,1,0,21,0,0,0,1,101,0
0,0,0,0,0,2,7495.3173828125,1,1,0,0,0,15,1,0,0,0,103,0
2,0,0,2,2,2,9045.6806640625,1,0,1,1,1,5,0,1,0,1,3,0
0,1,0,1,1,2,9230.8251953125,1,1,0,0,0,16,1,2,0,1,103,0
2,1,0,1,2,2,8063.26025390625,1,1,0,1,0,8,0,2,1,3,100,0
2,1,0,1,0,1,5557.33837890625,1,0,1,1,0,8,0,1,1,7,100,0
2,0,0,2,2,0,7248.3955078125,1,1,0,1,0,11,0,2,0,3,1,0
2,0,0,2,0,2,7480.0078125,1,1,0,1,0,11,1,2,0,1,103,0
2,0,0,0,0,2,8901.7080078125,1,0,1,0,0,6,1,0,0,7,103,0
2,0,0,2,0,1,7501.41943359375,1,1,1,1,0,8,0,0,0,1,3,0
2,1,0,3,0,2,4108.29248046875,0,1,1,1,2,8,0,2,2,3,100,0
0,1,0,0,0,1,2829.44970703125,0,1,0,0,0,11,1,0,0,0,103,1
2,1,0,2,1,2,6098.3369140625,1,0,1,1,0,8,1,2,0,1,103,0
0,0,0,0,0,0,5349.4345703125,1,0,0,0,0,16,0,0,0,0,101,0
0,0,0,0,0,1,9071.734375,1,1,0,0,0,13,1,0,0,1,103,0
2,0,0,0,0,2,8644.93359375,0,0,1,1,1,5,0,0,0,0,1,0
3,1,0,3,0,2,2256.0234375,1,1,1,1,0,6,0,2,2,2,100,0
0,0,0,0,0,1,2543.6259765625,1,1,0,0,2,13,0,0,0,0,101,0
1,1,0,0,0,0,6052.02099609375,1,0,1,0,0,8,1,0,0,1,103,1
1,0,0,1,0,0,8413.1435546875,1,0,1,1,2,8,0,2,0,0,101,0
0,1,0,0,0,3,818.4364013671875,0,1,0,1,0,5,0,0,0,0,2,1
2,1,0,2,0,1,4541.451171875,1,1,0,1,0,11,0,2,0,3,3,0
1,0,0,0,0,0,9195.89453125,0,1,0,0,0,13,1,0,0,0,103,1
2,1,0,1,0,2,5172.76220703125,1,1,0,1,0,11,0,2,0,2,1,0
0,0,0,0,0,1,998.787109375,0,1,0,0,0,16,1,0,0,0,103,1
1,1,0,0,0,1,8949.59375,1,1,0,1,0,22,0,0,0,6,101,0
2,0,0,2,2,2,4523.0517578125,0,0,0,1,1,10,0,3,0,1,3,0
2,0,0,1,0,2,9178.1240234375,1,0,1,1,0,11,0,0,0,1,1,0
1,0,0,0,0,0,3496.064208984375,1,1,0,0,2,21,0,0,0,0,101,0
1,1,0,0,0,1,1409.1097412109375,1,1,0,1,0,8,0,0,0,0,2,1
2,0,0,0,0,2,8356.73046875,1,0,1,0,0,10,1,2,0,5,1,0
1,1,0,1,0,3,3020.54443359375,0,0,1,1,0,8,1,1,0,1,103,0
0,0,0,0,0,1,4657.26953125,1,1,0,0,1,12,0,0,0,0,2,1
1,1,0,1,0,2,917.7991943359375,0,1,0,0,0,9,1,2,0,3,103,1
0,0,0,0,0,2,7736.76708984375,1,1,0,0,0,16,1,0,0,1,103,0
1,1,0,1,0,1,6848.84130859375,0,1,0,1,0,8,0,0,0,2,1,0
1,1,0,1,0,0,5192.5673828125,0,1,1,1,0,8,0,2,0,2,1,0
0,0,0,0,0,1,4555.470703125,0,1,0,0,2,17,0,0,0,0,2,1
3,0,0,3,0,2,8987.46875,1,0,1,1,0,8,0,2,0,2,1,0
0,1,0,0,0,1,8960.283203125,0,1,0,0,0,16,0,0,0,0,2,1
2,0,0,1,0,0,5028.57275390625,0,0,0,1,0,8,0,2,0,3,101,0
0,0,0,0,0,1,7276.20849609375,1,0,0,0,0,11,1,0,0,1,103,0
3,1,0,2,0,2,4784.43701171875,1,1,0,1,0,12,0,2,0,6,3,0
1,0,0,1,2,0,8182.96337890625,0,0,1,0,0,12,0,1,0,1,1,0
1,0,0,1,0,1,4444.01171875,1,1,0,0,0,21,0,0,0,0,101,0
3,1,0,3,1,2,6276.40087890625,1,0,0,1,0,8,1,2,0,7,103,0
1,1,0,1,0,0,9249.009765625,1,1,0,1,0,11,0,0,0,2,2,1
2,1,0,1,0,1,1483.20166015625,1,0,0,1,0,5,1,1,0,1,103,0
1,0,0,0,2,2,8887.2822265625,1,0,1,1,0,9,0,0,0,0,1,0
2,0,0,1,0,1,9391.55859375,0,1,1,0,0,13,1,1,1,1,103,0
1,1,0,0,0,1,9151.5986328125,1,1,0,0,0,15,1,0,0,0,103,1
2,0,0,1,2,2,6248.08056640625,0,0,1,1,2,8,0,2,0,0,1,0
3,0,0,2,0,2,7405.74658203125,0,1,1,1,0,8,0,2,0,5,3,0
0,0,0,0,1,1,4440.26318359375,1,1,0,0,1,11,0,0,0,0,2,0
2,1,0,2,0,2,8501.4755859375,1,0,1,1,2,7,0,6,2,1,100,0
2,0,0,1,1,2,8056.5927734375,0,0,0,0,0,10,1,2,0,2,103,0
2,1,0,1,0,2,4817.39794921875,0,1,1,1,0,5,0,2,0,3,2,1
3,1,0,3,0,2,8236.8994140625,1,0,1,1,0,8,0,4,0,4,3,0
0,1,0,0,0,0,7128.3544921875,1,1,1,1,0,12,0,0,0,0,2,0
2,1,0,2,2,2,8090.90283203125,1,0,1,1,1,8,1,2,0,3,3,0
2,0,0,2,0,2,7944.01806640625,1,0,1,1,0,8,0,2,0,2,1,0
1,0,0,1,0,0,8560.244140625,1,1,0,1,1,6,0,1,0,1,1,0
2,0,0,1,0,2,8211.6884765625,1,0,1,1,0,11,0,1,0,1,3,0
1,0,0,1,2,0,8092.6015625,1,1,0,0,0,13,0,0,0,0,2,0
3,1,0,3,2,2,6647.18798828125,1,0,1,1,0,11,0,2,0,4,3,0
1,0,0,1,0,0,3285.4052734375,1,0,0,1,2,12,0,0,0,0,1,0
0,0,0,0,0,1,770.5069580078125,0,1,0,0,0,11,0,0,0,0,2,1
2,0,0,1,2,2,8588.955078125,1,1,1,1,2,8,0,3,1,0,1,0
3,0,0,2,0,2,8888.380859375,0,0,1,1,0,5,0,1,0,4,3,0
1,1,0,0,0,0,7465.603515625,0,1,0,1,0,8,0,0,0,0,2,1
3,1,0,1,2,2,6203.2109375,0,1,1,1,2,8,0,3,1,0,100,1
3,0,0,3,0,2,6752.76513671875,0,1,1,1,0,8,0,2,0,5,3,0
1,1,0,1,0,2,8622.0244140625,1,1,0,1,2,8,0,2,1,0,100,0
1,1,0,1,0,1,1174.3292236328125,0,1,1,0,0,8,0,1,0,1,1,0
2,1,0,1,1,2,7095.8388671875,1,1,0,0,0,16,1,2,0,1,103,0
0,1,0,0,0,1,-316.6373291015625,0,1,0,1,2,16,0,0,0,0,101,1
0,1,0,0,1,1,5347.19921875,1,1,0,1,3,12,0,0,0,0,2,0
1,0,0,1,0,1,1945.818115234375,1,1,0,1,0,8,0,0,0,0,101,0
2,0,0,2,0,2,8772.01953125,0,0,1,1,0,9,0,2,0,1,100,0
2,0,0,2,1,0,6781.8017578125,0,1,1,1,2,8,0,3,2,0,100,0
3,1,0,2,1,2,1934.9161376953125,1,0,1,1,0,8,0,6,2,3,100,0
2,1,0,1,0,2,5766.81884765625,0,1,1,0,0,13,0,2,0,1,1,0
1,0,0,1,0,2,5954.75732421875,0,0,0,1,0,14,0,2,0,2,1,0
1,1,0,1,0,0,7327.52490234375,1,1,1,0,0,11,0,1,0,2,1,1
1,0,0,1,0,2,6649.0859375,0,0,1,1,2,21,0,2,0,0,1,0
1,1,0,1,0,0,2780.791015625,0,1,0,0,2,11,0,2,0,2,2,0
0,0,0,0,0,1,3239.306640625,1,1,0,0,0,12,0,0,0,0,2,1
3,0,0,3,2,0,5831.353515625,1,0,1,1,0,11,0,3,1,3,100,0
3,0,0,1,0,2,8625.775390625,1,0,0,0,0,12,0,1,0,2,1,0
1,1,0,1,0,2,5729.138671875,0,1,0,1,2,14,0,1,0,1,100,1
2,1,0,1,2,2,8774.1796875,1,0,1,1,0,6,0,1,0,1,1,0
0,0,0,0,0,1,3750.83740234375,1,1,0,0,0,21,0,0,0,0,101,0
2,0,0,1,2,2,5160.25439453125,0,0,1,1,0,8,0,1,0,3,3,0
2,1,0,1,0,2,9189.9697265625,0,1,0,1,0,10,0,0,0,0,3,0
1,0,0,0,1,0,7958.51806640625,1,0,1,1,0,8,0,0,0,0,1,0
0,0,0,0,0,1,4475.341796875,0,1,0,0,2,14,0,0,0,0,2,1
1,1,0,1,2,2,5909.31884765625,0,1,0,0,2,21,0,3,0,0,101,0
1,0,0,1,0,1,9166.03125,0,1,0,0,0,12,0,1,0,1,1,0
1,1,0,1,0,1,3597.171875,0,1,0,0,2,21,0,0,0,0,101,1
0,0,0,0,0,0,8381.4189453125,1,0,0,1,2,21,0,0,0,0,101,0
2,1,0,1,0,1,1662.045166015625,1,1,0,0,0,21,0,0,0,1,101,0
1,1,0,1,0,1,9125.5546875,1,1,0,1,2,13,1,3,1,1,103,1
1,0,0,0,0,2,8084.19482421875,0,1,0,1,1,8,0,0,0,0,2,1
3,0,0,1,0,1,6422.49072265625,1,1,1,1,0,8,0,1,0,0,100,0
2,1,0,2,2,2,8772.3798828125,0,1,1,1,0,8,0,2,0,5,3,0
0,1,0,0,0,1,2729.0146484375,0,1,1,0,0,8,0,0,0,0,2,1
2,0,0,0,1,2,8591.3447265625,1,1,0,1,0,7,0,0,0,0,2,1
0,0,0,0,0,1,3639.757080078125,0,1,0,1,2,9,0,0,0,0,2,1
1,1,0,1,0,2,9482.7294921875,1,1,0,1,0,11,0,3,0,1,1,0
2,0,0,1,0,2,6086.2783203125,0,0,1,0,0,12,0,1,2,2,100,0
0,0,0,0,1,1,4260.53515625,1,1,0,0,3,12,0,0,0,0,2,1
2,1,0,2,2,2,5434.25,1,1,0,1,0,12,0,2,0,3,3,0
1,0,0,0,0,3,9067.3203125,1,0,1,1,0,8,0,0,0,0,1,0
2,0,0,2,0,0,4363.3447265625,0,1,0,1,1,8,0,2,0,3,3,0
0,0,0,0,0,1,2179.973388671875,0,1,0,0,2,10,1,0,0,0,103,1
0,0,0,0,0,0,8391.0615234375,1,0,0,0,0,10,1,0,0,0,103,0
3,1,0,2,2,2,3887.263916015625,1,0,1,1,0,7,0,4,1,6,100,0
2,0,0,2,0,0,8745.9404296875,1,0,1,1,0,8,0,1,2,1,1,0
1,0,0,1,0,0,7698.7578125,1,0,0,0,0,21,0,3,0,1,101,0
3,1,0,3,2,2,6891.322265625,1,0,1,1,0,6,0,6,0,8,100,0
1,0,0,1,1,2,7689.548828125,0,0,0,0,0,10,1,2,0,0,103,0
1,0,0,0,0,2,8330.2646484375,1,1,0,1,2,21,0,0,0,0,2,1
1,0,0,1,0,1,7110.8505859375,0,1,0,0,0,11,0,0,0,2,2,0
2,1,0,2,0,2,8057.84326171875,1,0,1,1,0,11,1,2,0,2,103,0
3,0,0,3,2,2,5506.6826171875,1,0,1,1,1,8,0,2,0,1,3,0
0,0,0,0,1,1,9226.6767578125,1,0,0,0,0,16,1,0,0,0,103,0
1,1,0,1,0,1,4741.40771484375,1,0,0,1,0,12,0,3,0,6,1,0
3,0,0,2,2,2,8115.49365234375,1,1,1,1,0,9,0,2,0,5,3,0
3,1,0,2,0,2,3161.491943359375,1,0,0,1,0,7,0,2,1,7,100,0
